 i-sweep         i(Vin)          i(Vout)         i(Vbias)        i(v1)           i(v2)           v(vbp)          v(vcn)         
 4.20000000e-08  4.20000000e-08  4.70654928e-08  1.00819191e-06  9.94048985e-07  1.04111347e-06  6.96033805e-01  7.27560313e-01 
 4.30000000e-08  4.30000000e-08  4.80015032e-08  1.00819192e-06  9.94071685e-07  1.04207218e-06  6.96033804e-01  7.27560310e-01 
 4.40000000e-08  4.40000000e-08  4.89379257e-08  1.00819193e-06  9.94093927e-07  1.04303085e-06  6.96033804e-01  7.27560313e-01 
 4.50000000e-08  4.50000000e-08  4.98747568e-08  1.00819192e-06  9.94115720e-07  1.04398947e-06  6.96033805e-01  7.27560310e-01 
 4.60000000e-08  4.60000000e-08  5.08119555e-08  1.00819191e-06  9.94137109e-07  1.04494806e-06  6.96033805e-01  7.27560312e-01 
 4.70000000e-08  4.70000000e-08  5.17495131e-08  1.00819193e-06  9.94158112e-07  1.04590663e-06  6.96033804e-01  7.27560310e-01 
 4.80000000e-08  4.80000000e-08  5.26874100e-08  1.00819193e-06  9.94178711e-07  1.04686512e-06  6.96033804e-01  7.27560311e-01 
 4.90000000e-08  4.90000000e-08  5.36256444e-08  1.00819192e-06  9.94198937e-07  1.04782358e-06  6.96033804e-01  7.27560311e-01 
 5.00000000e-08  5.00000000e-08  5.45641683e-08  1.00819192e-06  9.94218803e-07  1.04878198e-06  6.96033804e-01  7.27560312e-01 
 5.10000000e-08  5.10000000e-08  5.55029978e-08  1.00819191e-06  9.94238306e-07  1.04974031e-06  6.96033805e-01  7.27560308e-01 
 5.20000000e-08  5.20000000e-08  5.64421185e-08  1.00819193e-06  9.94257503e-07  1.05069863e-06  6.96033804e-01  7.27560312e-01 
 5.30000000e-08  5.30000000e-08  5.73814987e-08  1.00819191e-06  9.94276343e-07  1.05165685e-06  6.96033805e-01  7.27560312e-01 
 5.40000000e-08  5.40000000e-08  5.83211470e-08  1.00819192e-06  9.94294885e-07  1.05261504e-06  6.96033805e-01  7.27560310e-01 
 5.50000000e-08  5.50000000e-08  5.92610281e-08  1.00819191e-06  9.94313101e-07  1.05357314e-06  6.96033806e-01  7.27560311e-01 
 5.60000000e-08  5.60000000e-08  6.02011525e-08  1.00819192e-06  9.94331046e-07  1.05453122e-06  6.96033805e-01  7.27560310e-01 
 5.70000000e-08  5.70000000e-08  6.11414972e-08  1.00819192e-06  9.94348699e-07  1.05548921e-06  6.96033805e-01  7.27560312e-01 
 5.80000000e-08  5.80000000e-08  6.20820639e-08  1.00819191e-06  9.94366061e-07  1.05644713e-06  6.96033805e-01  7.27560309e-01 
 5.90000000e-08  5.90000000e-08  6.30228243e-08  1.00819192e-06  9.94383168e-07  1.05740501e-06  6.96033804e-01  7.27560313e-01 
 6.00000000e-08  6.00000000e-08  6.39637872e-08  1.00819192e-06  9.94399993e-07  1.05836280e-06  6.96033805e-01  7.27560309e-01 
 6.10000000e-08  6.10000000e-08  6.49049277e-08  1.00819192e-06  9.94416576e-07  1.05932052e-06  6.96033805e-01  7.27560314e-01 
 6.20000000e-08  6.20000000e-08  6.58462458e-08  1.00819191e-06  9.94432908e-07  1.06027817e-06  6.96033805e-01  7.27560310e-01 
 6.30000000e-08  6.30000000e-08  6.67877416e-08  1.00819192e-06  9.94449005e-07  1.06123576e-06  6.96033805e-01  7.27560312e-01 
 6.40000000e-08  6.40000000e-08  6.77293794e-08  1.00819190e-06  9.94464854e-07  1.06219326e-06  6.96033806e-01  7.27560311e-01 
 6.50000000e-08  6.50000000e-08  6.86711896e-08  1.00819192e-06  9.94480505e-07  1.06315071e-06  6.96033805e-01  7.27560311e-01 
 6.60000000e-08  6.60000000e-08  6.96131259e-08  1.00819191e-06  9.94495906e-07  1.06410806e-06  6.96033805e-01  7.27560312e-01 
 6.70000000e-08  6.70000000e-08  7.05552150e-08  1.00819191e-06  9.94511106e-07  1.06506534e-06  6.96033805e-01  7.27560309e-01 
 6.80000000e-08  6.80000000e-08  7.14974338e-08  1.00819190e-06  9.94526092e-07  1.06602254e-06  6.96033806e-01  7.27560311e-01 
 6.90000000e-08  6.90000000e-08  7.24397626e-08  1.00819191e-06  9.94540887e-07  1.06697967e-06  6.96033805e-01  7.27560309e-01 
 7.00000000e-08  7.00000000e-08  7.33822283e-08  1.00819192e-06  9.94555483e-07  1.06793673e-06  6.96033805e-01  7.27560311e-01 
 7.10000000e-08  7.10000000e-08  7.43247934e-08  1.00819192e-06  9.94569870e-07  1.06889369e-06  6.96033805e-01  7.27560309e-01 
 7.20000000e-08  7.20000000e-08  7.52674740e-08  1.00819191e-06  9.94584070e-07  1.06985057e-06  6.96033806e-01  7.27560311e-01 
 7.30000000e-08  7.30000000e-08  7.62102559e-08  1.00819193e-06  9.94598109e-07  1.07080738e-06  6.96033804e-01  7.27560311e-01 
 7.40000000e-08  7.40000000e-08  7.71531230e-08  1.00819191e-06  9.94611934e-07  1.07176408e-06  6.96033806e-01  7.27560312e-01 
 7.50000000e-08  7.50000000e-08  7.80960896e-08  1.00819192e-06  9.94625612e-07  1.07272073e-06  6.96033805e-01  7.27560310e-01 
 7.60000000e-08  7.60000000e-08  7.90391361e-08  1.00819192e-06  9.94639111e-07  1.07367728e-06  6.96033805e-01  7.27560312e-01 
 7.70000000e-08  7.70000000e-08  7.99822537e-08  1.00819191e-06  9.94652433e-07  1.07463372e-06  6.96033805e-01  7.27560312e-01 
 7.80000000e-08  7.80000000e-08  8.09254672e-08  1.00819192e-06  9.94665610e-07  1.07559011e-06  6.96033805e-01  7.27560310e-01 
 7.90000000e-08  7.90000000e-08  8.18687464e-08  1.00819191e-06  9.94678615e-07  1.07654639e-06  6.96033805e-01  7.27560313e-01 
 8.00000000e-08  8.00000000e-08  8.28120754e-08  1.00819193e-06  9.94691490e-07  1.07750260e-06  6.96033804e-01  7.27560310e-01 
 8.10000000e-08  8.10000000e-08  8.37554808e-08  1.00819192e-06  9.94704184e-07  1.07845869e-06  6.96033805e-01  7.27560313e-01 
 8.20000000e-08  8.20000000e-08  8.46989412e-08  1.00819192e-06  9.94716739e-07  1.07941471e-06  6.96033805e-01  7.27560310e-01 
 8.30000000e-08  8.30000000e-08  8.56424514e-08  1.00819191e-06  9.94729143e-07  1.08037063e-06  6.96033806e-01  7.27560312e-01 
 8.40000000e-08  8.40000000e-08  8.65860184e-08  1.00819191e-06  9.94741420e-07  1.08132647e-06  6.96033805e-01  7.27560309e-01 
 8.50000000e-08  8.50000000e-08  8.75296227e-08  1.00819191e-06  9.94753547e-07  1.08228221e-06  6.96033805e-01  7.27560311e-01 
 8.60000000e-08  8.60000000e-08  8.84732803e-08  1.00819191e-06  9.94765545e-07  1.08323786e-06  6.96033805e-01  7.27560308e-01 
 8.70000000e-08  8.70000000e-08  8.94169663e-08  1.00819192e-06  9.94777420e-07  1.08419342e-06  6.96033805e-01  7.27560312e-01 
 8.80000000e-08  8.80000000e-08  9.03606932e-08  1.00819192e-06  9.94789154e-07  1.08514888e-06  6.96033805e-01  7.27560310e-01 
 8.90000000e-08  8.90000000e-08  9.13044484e-08  1.00819192e-06  9.94800772e-07  1.08610426e-06  6.96033805e-01  7.27560313e-01 
 9.00000000e-08  9.00000000e-08  9.22482375e-08  1.00819191e-06  9.94812243e-07  1.08705952e-06  6.96033806e-01  7.27560309e-01 
 9.10000000e-08  9.10000000e-08  9.31920461e-08  1.00819192e-06  9.94823621e-07  1.08801470e-06  6.96033805e-01  7.27560313e-01 
 9.20000000e-08  9.20000000e-08  9.41358849e-08  1.00819191e-06  9.94834853e-07  1.08896978e-06  6.96033805e-01  7.27560309e-01 
 9.30000000e-08  9.30000000e-08  9.50797467e-08  1.00819191e-06  9.94845982e-07  1.08992476e-06  6.96033805e-01  7.27560313e-01 
 9.40000000e-08  9.40000000e-08  9.60236139e-08  1.00819192e-06  9.94857000e-07  1.09087966e-06  6.96033805e-01  7.27560310e-01 
 9.50000000e-08  9.50000000e-08  9.69674971e-08  1.00819192e-06  9.94867904e-07  1.09183444e-06  6.96033805e-01  7.27560312e-01 
 9.60000000e-08  9.60000000e-08  9.79113963e-08  1.00819190e-06  9.94878681e-07  1.09278912e-06  6.96033806e-01  7.27560311e-01 
 9.70000000e-08  9.70000000e-08  9.88552991e-08  1.00819192e-06  9.94889387e-07  1.09374373e-06  6.96033805e-01  7.27560310e-01 
 9.80000000e-08  9.80000000e-08  9.97992160e-08  1.00819190e-06  9.94899947e-07  1.09469820e-06  6.96033806e-01  7.27560311e-01 
 9.90000000e-08  9.90000000e-08  1.00743124e-07  1.00819192e-06  9.94910447e-07  1.09565261e-06  6.96033804e-01  7.27560310e-01 
 1.00000000e-07  1.00000000e-07  1.01687043e-07  1.00819192e-06  9.94920811e-07  1.09660690e-06  6.96033805e-01  7.27560311e-01 
 1.01000000e-07  1.01000000e-07  1.02630956e-07  1.00819191e-06  9.94931085e-07  1.09756108e-06  6.96033805e-01  7.27560311e-01 
 1.02000000e-07  1.02000000e-07  1.03574868e-07  1.00819191e-06  9.94941258e-07  1.09851517e-06  6.96033805e-01  7.27560311e-01 
 1.03000000e-07  1.03000000e-07  1.04518771e-07  1.00819192e-06  9.94951344e-07  1.09946916e-06  6.96033805e-01  7.27560310e-01 
 1.04000000e-07  1.04000000e-07  1.05462661e-07  1.00819192e-06  9.94961340e-07  1.10042305e-06  6.96033804e-01  7.27560314e-01 
 1.05000000e-07  1.05000000e-07  1.06406556e-07  1.00819192e-06  9.94971234e-07  1.10137683e-06  6.96033804e-01  7.27560310e-01 
 1.06000000e-07  1.06000000e-07  1.07350425e-07  1.00819190e-06  9.94981018e-07  1.10233049e-06  6.96033806e-01  7.27560309e-01 
 1.07000000e-07  1.07000000e-07  1.08294271e-07  1.00819191e-06  9.94990742e-07  1.10328407e-06  6.96033805e-01  7.27560311e-01 
 1.08000000e-07  1.08000000e-07  1.09238124e-07  1.00819192e-06  9.95000386e-07  1.10423755e-06  6.96033804e-01  7.27560310e-01 
 1.09000000e-07  1.09000000e-07  1.10181949e-07  1.00819193e-06  9.95009927e-07  1.10519092e-06  6.96033804e-01  7.27560311e-01 
 1.10000000e-07  1.10000000e-07  1.11125752e-07  1.00819193e-06  9.95019386e-07  1.10614418e-06  6.96033804e-01  7.27560311e-01 
 1.11000000e-07  1.11000000e-07  1.12069536e-07  1.00819192e-06  9.95028753e-07  1.10709733e-06  6.96033805e-01  7.27560313e-01 
