 net1            i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 0.00000000e+00  2.00145414e-06  5.92954815e-07  3.43642651e-01  1.14302625e+00  1.14302624e+00  2.59442327e-06  1.81378905e-10  2.28032903e-01  2.27736719e-01  1.96910585e-06  5.87642491e-07 
 1.00000000e+00  1.98263652e-06  6.11772595e-07  3.43638420e-01  1.14302531e+00  1.49776414e-07  2.59442344e-06  2.39642022e-10  2.28030334e-01  2.27743267e-01  1.95072450e-06  6.06190051e-07 
 0.00000000e+00  1.96243207e-06  6.31977222e-07  3.43633727e-01  1.14302531e+00  1.14302530e+00  2.59442362e-06  2.39644082e-10  2.28027558e-01  2.27750149e-01  1.93098638e-06  6.26100908e-07 
 1.00000000e+00  1.94476789e-06  6.49641561e-07  3.43629873e-01  1.14302437e+00  1.49772636e-07  2.59442378e-06  2.97912806e-10  2.28025109e-01  2.27756043e-01  1.91372823e-06  6.43505375e-07 
 0.00000000e+00  1.92142527e-06  6.72984427e-07  3.43622880e-01  1.14302812e+00  1.14302811e+00  2.59442404e-06  6.48086029e-11  2.28021842e-01  2.27763662e-01  1.89091965e-06  6.66500661e-07 
 1.00000000e+00  1.90146186e-06  6.92947895e-07  3.43619263e-01  1.14302718e+00  1.49783966e-07  2.59442409e-06  1.23100718e-10  2.28019022e-01  2.27770035e-01  1.87141081e-06  6.86163064e-07 
 0.00000000e+00  1.88036164e-06  7.14048259e-07  3.43615190e-01  1.14302718e+00  1.14302717e+00  2.59442424e-06  1.23101529e-10  2.28016013e-01  2.27776627e-01  1.85078877e-06  7.06941572e-07 
 1.00000000e+00  1.86150863e-06  7.32901451e-07  3.43611932e-01  1.14302625e+00  1.49780192e-07  2.59442441e-06  1.81376577e-10  2.28013302e-01  2.27782406e-01  1.83236105e-06  7.25504009e-07 
 0.00000000e+00  1.83994718e-06  7.54463118e-07  3.43607584e-01  1.14302718e+00  1.14302718e+00  2.59442462e-06  1.23108634e-10  2.28010171e-01  2.27788883e-01  1.81128372e-06  7.46729611e-07 
 1.00000000e+00  1.82051474e-06  7.73895559e-07  3.43604595e-01  1.14302624e+00  1.49780186e-07  2.59442463e-06  1.81394455e-10  2.28007319e-01  2.27794605e-01  1.79228558e-06  7.65855866e-07 
 0.00000000e+00  1.80007364e-06  7.94336784e-07  3.43601156e-01  1.14302624e+00  1.14302624e+00  2.59442476e-06  1.81380614e-10  2.28004292e-01  2.27800514e-01  1.77229921e-06  7.85971828e-07 
 1.00000000e+00  1.78150511e-06  8.12905498e-07  3.43598495e-01  1.14302531e+00  1.49776412e-07  2.59442493e-06  2.39637015e-10  2.28001518e-01  2.27805787e-01  1.75414186e-06  8.04242200e-07 
 0.00000000e+00  1.75990199e-06  8.34508763e-07  3.43594167e-01  1.14302718e+00  1.14302718e+00  2.59442509e-06  1.23091096e-10  2.27998263e-01  2.27811813e-01  1.73301472e-06  8.25495029e-07 
 1.00000000e+00  1.74016023e-06  8.54250616e-07  3.43591755e-01  1.14302625e+00  1.49780189e-07  2.59442517e-06  1.81393613e-10  2.27995254e-01  2.27817211e-01  1.71370585e-06  8.44913533e-07 
 0.00000000e+00  1.71959281e-06  8.74818131e-07  3.43588898e-01  1.14302625e+00  1.14302624e+00  2.59442528e-06  1.81393796e-10  2.27992090e-01  2.27822744e-01  1.69358717e-06  8.65141029e-07 
 1.00000000e+00  1.70059372e-06  8.93817273e-07  3.43586786e-01  1.14302531e+00  1.49776408e-07  2.59442531e-06  2.39646355e-10  2.27989137e-01  2.27827770e-01  1.67500065e-06  8.83823295e-07 
 0.00000000e+00  1.67968174e-06  9.14729429e-07  3.43583628e-01  1.14302625e+00  1.14302624e+00  2.59442550e-06  1.81384745e-10  2.27985856e-01  2.27833204e-01  1.65454058e-06  9.04383619e-07 
 1.00000000e+00  1.66023169e-06  9.34179481e-07  3.43581783e-01  1.14302531e+00  1.49776410e-07  2.59442550e-06  2.39630538e-10  2.27982774e-01  2.27838178e-01  1.63550870e-06  9.23503602e-07 
 0.00000000e+00  1.64007359e-06  9.54337669e-07  3.43579487e-01  1.14302531e+00  1.14302530e+00  2.59442559e-06  2.39635711e-10  2.27979545e-01  2.27843246e-01  1.61578186e-06  9.43316909e-07 
 1.00000000e+00  1.62113909e-06  9.73272315e-07  3.43577925e-01  1.14302437e+00  1.49772636e-07  2.59442574e-06  2.97898595e-10  2.27976480e-01  2.27847935e-01  1.59725045e-06  9.61924917e-07 
 0.00000000e+00  1.59980572e-06  9.94605796e-07  3.43574133e-01  1.14302718e+00  1.14302718e+00  2.59442585e-06  1.23111486e-10  2.27972993e-01  2.27853135e-01  1.57636887e-06  9.82887427e-07 
 1.00000000e+00  1.57987207e-06  1.01453948e-06  3.43572819e-01  1.14302625e+00  1.49780189e-07  2.59442587e-06  1.81366392e-10  2.27969697e-01  2.27857914e-01  1.55685520e-06  1.00247157e-06 
 0.00000000e+00  1.55943222e-06  1.03497940e-06  3.43571060e-01  1.14302625e+00  1.14302624e+00  2.59442594e-06  1.81369108e-10  2.27966283e-01  2.27862741e-01  1.53684366e-06  1.02255037e-06 
