 net1            i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(D0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 0.00000000e+00  5.71343922e-07  2.02306483e-06  3.43647750e-01  1.14302625e+00  1.14302624e+00  2.59442307e-06  1.81368424e-10  2.27729026e-01  2.28035823e-01  5.66337802e-07  1.99021337e-06 
 1.00000000e+00  5.92954855e-07  2.00145403e-06  3.43643221e-01  1.14302531e+00  1.49776412e-07  2.59442321e-06  2.39636620e-10  2.27736719e-01  2.28032901e-01  5.87642512e-07  1.96910574e-06 
 0.00000000e+00  6.11776263e-07  1.98263281e-06  3.43638415e-01  1.14302531e+00  1.14302530e+00  2.59442340e-06  2.39623533e-10  2.27743267e-01  2.28030333e-01  6.06193627e-07  1.95072086e-06 
 1.00000000e+00  6.31977325e-07  1.96243189e-06  3.43634299e-01  1.14302437e+00  1.49772633e-07  2.59442355e-06  2.97912806e-10  2.27750148e-01  2.28027559e-01  6.26100990e-07  1.93098617e-06 
 0.00000000e+00  6.50504548e-07  1.94390491e-06  3.43627321e-01  1.14302812e+00  1.14302811e+00  2.59442380e-06  6.48332996e-11  2.27756327e-01  2.28024988e-01  6.44355604e-07  1.91288505e-06 
 1.00000000e+00  6.72984514e-07  1.92142510e-06  3.43623454e-01  1.14302718e+00  1.49783968e-07  2.59442395e-06  1.23119735e-10  2.27763663e-01  2.28021844e-01  6.66500730e-07  1.89091954e-06 
 0.00000000e+00  6.92951863e-07  1.90145793e-06  3.43619266e-01  1.14302718e+00  1.14302718e+00  2.59442413e-06  1.23094424e-10  2.27770037e-01  2.28019023e-01  6.86166988e-07  1.87140694e-06 
 1.00000000e+00  7.14048486e-07  1.88036151e-06  3.43615773e-01  1.14302625e+00  1.49780193e-07  2.59442432e-06  1.81381410e-10  2.27776626e-01  2.28016016e-01  7.06941828e-07  1.85078863e-06 
 0.00000000e+00  7.32916209e-07  1.86149390e-06  3.43611353e-01  1.14302718e+00  1.14302718e+00  2.59442445e-06  1.23097976e-10  2.27782410e-01  2.28013299e-01  7.25518561e-07  1.83234671e-06 
 1.00000000e+00  7.54463259e-07  1.83994702e-06  3.43608163e-01  1.14302625e+00  1.49780194e-07  2.59442461e-06  1.81383797e-10  2.27788884e-01  2.28010174e-01  7.46729739e-07  1.81128357e-06 
 0.00000000e+00  7.73899396e-07  1.82051102e-06  3.43604607e-01  1.14302625e+00  1.14302624e+00  2.59442475e-06  1.81380700e-10  2.27794609e-01  2.28007323e-01  7.65859692e-07  1.79228197e-06 
 1.00000000e+00  7.94336984e-07  1.80007346e-06  3.43601734e-01  1.14302531e+00  1.49776411e-07  2.59442477e-06  2.39642858e-10  2.27800513e-01  2.28004295e-01  7.85972041e-07  1.77229904e-06 
 0.00000000e+00  8.12959379e-07  1.78145121e-06  3.43597334e-01  1.14302718e+00  1.14302718e+00  2.59442492e-06  1.23096387e-10  2.27805802e-01  2.28001513e-01  8.04295198e-07  1.75408905e-06 
 1.00000000e+00  8.34508910e-07  1.75990181e-06  3.43594737e-01  1.14302625e+00  1.49780190e-07  2.59442506e-06  1.81381140e-10  2.27811810e-01  2.27998262e-01  8.25495150e-07  1.73301452e-06 
 0.00000000e+00  8.54254438e-07  1.74015634e-06  3.43591752e-01  1.14302624e+00  1.14302624e+00  2.59442509e-06  1.81375830e-10  2.27817213e-01  2.27995254e-01  8.44917288e-07  1.71370204e-06 
 1.00000000e+00  8.74818171e-07  1.71959272e-06  3.43589468e-01  1.14302531e+00  1.49776409e-07  2.59442523e-06  2.39645630e-10  2.27822744e-01  2.27992089e-01  8.65141063e-07  1.69358714e-06 
 0.00000000e+00  8.93831771e-07  1.70057928e-06  3.43586210e-01  1.14302625e+00  1.14302624e+00  2.59442537e-06  1.81378475e-10  2.27827771e-01  2.27989134e-01  8.83837565e-07  1.67498652e-06 
 1.00000000e+00  9.14729461e-07  1.67968169e-06  3.43584201e-01  1.14302531e+00  1.49776416e-07  2.59442549e-06  2.39640495e-10  2.27833205e-01  2.27985855e-01  9.04383635e-07  1.65454056e-06 
 0.00000000e+00  9.34183256e-07  1.66022799e-06  3.43581784e-01  1.14302531e+00  1.14302530e+00  2.59442558e-06  2.39641525e-10  2.27838178e-01  2.27982771e-01  9.23507290e-07  1.63550508e-06 
 1.00000000e+00  9.54337732e-07  1.64007355e-06  3.43580067e-01  1.14302437e+00  1.49772635e-07  2.59442562e-06  2.97909253e-10  2.27843250e-01  2.27979547e-01  9.43316907e-07  1.61578181e-06 
 0.00000000e+00  9.73481884e-07  1.62092960e-06  3.43576176e-01  1.14302718e+00  1.14302718e+00  2.59442582e-06  1.23087318e-10  2.27847988e-01  2.27976449e-01  9.62130864e-07  1.59704539e-06 
 1.00000000e+00  9.94605907e-07  1.59980554e-06  3.43574703e-01  1.14302625e+00  1.49780189e-07  2.59442577e-06  1.81356189e-10  2.27853134e-01  2.27972994e-01  9.82887478e-07  1.57636872e-06 
 0.00000000e+00  1.01454334e-06  1.57986815e-06  3.43572818e-01  1.14302624e+00  1.14302624e+00  2.59442583e-06  1.81369744e-10  2.27857915e-01  2.27969699e-01  1.00247538e-06  1.55685134e-06 
 1.00000000e+00  1.03497946e-06  1.55943211e-06  3.43571631e-01  1.14302531e+00  1.49776408e-07  2.59442588e-06  2.39644748e-10  2.27862741e-01  2.27966282e-01  1.02255044e-06  1.53684354e-06 
 0.00000000e+00  1.05447233e-06  1.53993935e-06  3.43569449e-01  1.14302625e+00  1.14302624e+00  2.59442601e-06  1.81387780e-10  2.27867275e-01  2.27962995e-01  1.04169625e-06  1.51775711e-06 
 1.00000000e+00  1.07507031e-06  1.51934146e-06  3.43568527e-01  1.14302531e+00  1.49776414e-07  2.59442608e-06  2.39634090e-10  2.27871994e-01  2.27959477e-01  1.06192474e-06  1.49758628e-06 
 0.00000000e+00  1.09482737e-06  1.49958444e-06  3.43567173e-01  1.14302531e+00  1.14302530e+00  2.59442613e-06  2.39644748e-10  2.27876456e-01  2.27956068e-01  1.08132474e-06  1.47823673e-06 
 1.00000000e+00  1.11496984e-06  1.47944200e-06  3.43566521e-01  1.14302437e+00  1.49772636e-07  2.59442615e-06  2.97909770e-10  2.27880940e-01  2.27952555e-01  1.10110058e-06  1.45850736e-06 
 0.00000000e+00  1.13454414e-06  1.45986768e-06  3.43564263e-01  1.14302624e+00  1.14302624e+00  2.59442614e-06  1.81356163e-10  2.27885233e-01  2.27949095e-01  1.12031611e-06  1.43933236e-06 
 1.00000000e+00  1.15504594e-06  1.43936591e-06  3.43563869e-01  1.14302531e+00  1.49776411e-07  2.59442618e-06  2.39641418e-10  2.27889671e-01  2.27945438e-01  1.14043953e-06  1.41924649e-06 
 0.00000000e+00  1.17498570e-06  1.41942620e-06  3.43563028e-01  1.14302531e+00  1.14302530e+00  2.59442621e-06  2.39644419e-10  2.27893923e-01  2.27941836e-01  1.16000870e-06  1.39970896e-06 
 1.00000000e+00  1.19514333e-06  1.39926857e-06  3.43562892e-01  1.14302437e+00  1.49772630e-07  2.59442623e-06  2.97916358e-10  2.27898168e-01  2.27938152e-01  1.17978910e-06  1.37995561e-06 
 0.00000000e+00  1.21497283e-06  1.37943915e-06  3.43561736e-01  1.14302531e+00  1.14302530e+00  2.59442630e-06  2.39646549e-10  2.27902285e-01  2.27934486e-01  1.19924507e-06  1.36052155e-06 
 1.00000000e+00  1.23518113e-06  1.35923082e-06  3.43561855e-01  1.14302437e+00  1.49772630e-07  2.59442626e-06  2.97919630e-10  2.27906427e-01  2.27930707e-01  1.21907024e-06  1.34071380e-06 
 0.00000000e+00  1.25516102e-06  1.33925093e-06  3.43561526e-01  1.14302437e+00  1.14302437e+00  2.59442628e-06  2.97923523e-10  2.27910469e-01  2.27926920e-01  1.23866884e-06  1.32112766e-06 
 1.00000000e+00  1.27524811e-06  1.31916387e-06  3.43561899e-01  1.14302344e+00  1.49768857e-07  2.59442631e-06  3.56162978e-10  2.27914478e-01  2.27923068e-01  1.25837018e-06  1.30143413e-06 
 0.00000000e+00  1.29908723e-06  1.29532486e-06  3.43558958e-01  1.14302812e+00  1.14302811e+00  2.59442641e-06  6.48228886e-11  2.27919170e-01  2.27918435e-01  1.28174828e-06  1.27805892e-06 
 1.00000000e+00  1.31916394e-06  1.27524810e-06  3.43559603e-01  1.14302718e+00  1.49783968e-07  2.59442636e-06  1.23096883e-10  2.27923067e-01  2.27914478e-01  1.30143415e-06  1.25837015e-06 
 0.00000000e+00  1.33925475e-06  1.25515733e-06  3.43559807e-01  1.14302718e+00  1.14302718e+00  2.59442639e-06  1.23097196e-10  2.27926920e-01  2.27910468e-01  1.32113145e-06  1.23866518e-06 
 1.00000000e+00  1.35923093e-06  1.23518103e-06  3.43560704e-01  1.14302624e+00  1.49780187e-07  2.59442628e-06  1.81362481e-10  2.27930705e-01  2.27906427e-01  1.34071396e-06  1.21907012e-06 
 0.00000000e+00  1.37945358e-06  1.21495845e-06  3.43560590e-01  1.14302718e+00  1.14302718e+00  2.59442636e-06  1.23100617e-10  2.27934490e-01  2.27902281e-01  1.36053569e-06  1.19923099e-06 
 1.00000000e+00  1.39926876e-06  1.19514323e-06  3.43561748e-01  1.14302625e+00  1.49780191e-07  2.59442631e-06  1.81390902e-10  2.27938151e-01  2.27898171e-01  1.37995579e-06  1.17978902e-06 
 0.00000000e+00  1.41943004e-06  1.17498191e-06  3.43562461e-01  1.14302625e+00  1.14302624e+00  2.59442629e-06  1.81377694e-10  2.27941838e-01  2.27893925e-01  1.39971270e-06  1.16000496e-06 
 1.00000000e+00  1.43936611e-06  1.15504581e-06  3.43563876e-01  1.14302531e+00  1.49776415e-07  2.59442626e-06  2.39641196e-10  2.27945439e-01  2.27889673e-01  1.41924665e-06  1.14043941e-06 
