 net1            i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 0.00000000e+00 -1.71397619e-12  2.65726786e-06  3.73257772e-01  1.14248840e+00  1.14248840e+00  2.65728131e-06  1.55625339e-11  2.40304489e-01  2.41134274e-01 -4.79522200e-10  2.48370197e-06 
 1.00000000e+00  2.78042731e-08  2.62946260e-06  3.73239197e-01  1.14248803e+00  8.11658818e-08  2.65728204e-06  3.92232774e-11  2.40332924e-01  2.41131268e-01  2.71332397e-08  2.45766303e-06 
 0.00000000e+00  4.83056900e-08  2.60896186e-06  3.73222744e-01  1.14248785e+00  1.14248785e+00  2.65728271e-06  5.02806824e-11  2.40352390e-01  2.41129037e-01  4.74803539e-08  2.43846360e-06 
 1.00000000e+00  7.21092947e-08  2.58515880e-06  3.73206453e-01  1.14248748e+00  8.11646143e-08  2.65728326e-06  7.39173917e-11  2.40373599e-01  2.41126422e-01  7.10931207e-08  2.41617055e-06 
 0.00000000e+00  8.91022465e-08  2.56816638e-06  3.73191735e-01  1.14248768e+00  1.14248767e+00  2.65728380e-06  6.11774693e-11  2.40387926e-01  2.41124542e-01  8.79424338e-08  2.40025544e-06 
 1.00000000e+00  1.14337024e-07  2.54293235e-06  3.73176390e-01  1.14248731e+00  8.11642189e-08  2.65728452e-06  8.48473999e-11  2.40408086e-01  2.41121732e-01  1.12953215e-07  2.37662020e-06 
 0.00000000e+00  1.33208500e-07  2.52406139e-06  3.73162403e-01  1.14248713e+00  1.14248712e+00  2.65728505e-06  9.58941054e-11  2.40422366e-01  2.41119614e-01  1.31649266e-07  2.35894410e-06 
 1.00000000e+00  1.55123063e-07  2.50214733e-06  3.73148575e-01  1.14248675e+00  8.11629511e-08  2.65728555e-06  1.19529509e-10  2.40438192e-01  2.41117137e-01  1.53351802e-07  2.33841672e-06 
 0.00000000e+00  1.70799910e-07  2.48647123e-06  3.73131416e-01  1.14248794e+00  1.14248793e+00  2.65728630e-06  4.50386069e-11  2.40449048e-01  2.41115355e-01  1.68871829e-07  2.32373204e-06 
 1.00000000e+00  1.96314457e-07  2.46095714e-06  3.73117976e-01  1.14248756e+00  8.11648069e-08  2.65728677e-06  6.86828359e-11  2.40465957e-01  2.41112429e-01  1.94122308e-07  2.29983054e-06 
 0.00000000e+00  2.16031891e-07  2.44124025e-06  3.73105539e-01  1.14248739e+00  1.14248738e+00  2.65728730e-06  7.97475467e-11  2.40478442e-01  2.41110151e-01  2.13628370e-07  2.28135901e-06 
 1.00000000e+00  2.38465483e-07  2.41880711e-06  3.73093301e-01  1.14248701e+00  8.11635411e-08  2.65728776e-06  1.03415942e-10  2.40492070e-01  2.41107540e-01  2.35814145e-07  2.26034190e-06 
 0.00000000e+00  2.55363221e-07  2.40190979e-06  3.73081804e-01  1.14248721e+00  1.14248721e+00  2.65728819e-06  9.06634212e-11  2.40501961e-01  2.41105558e-01  2.52520206e-07  2.24451055e-06 
 1.00000000e+00  2.79057063e-07  2.37821642e-06  3.73070136e-01  1.14248684e+00  8.11631425e-08  2.65728865e-06  1.14340048e-10  2.40515330e-01  2.41102760e-01  2.75938358e-07  2.22231097e-06 
 0.00000000e+00  2.97562989e-07  2.35971095e-06  3.73059176e-01  1.14248666e+00  1.14248666e+00  2.65728910e-06  1.25361835e-10  2.40525393e-01  2.41100556e-01  2.94223462e-07  2.20497149e-06 
 1.00000000e+00  3.18598155e-07  2.33867611e-06  3.73048417e-01  1.14248629e+00  8.11618740e-08  2.65728942e-06  1.49016194e-10  2.40536457e-01  2.41098034e-01  3.15001950e-07  2.18526118e-06 
 0.00000000e+00  3.35967611e-07  2.32130698e-06  3.73043173e-01  1.14248800e+00  1.14248799e+00  2.65728974e-06  4.10018686e-11  2.40545308e-01  2.41095935e-01  3.32155105e-07  2.16898518e-06 
 1.00000000e+00  3.60964134e-07  2.29631077e-06  3.73032667e-01  1.14248762e+00  8.11649526e-08  2.65729008e-06  6.46622998e-11  2.40557630e-01  2.41092891e-01  3.56833532e-07  2.14556109e-06 
 0.00000000e+00  3.81152297e-07  2.27612306e-06  3.73022724e-01  1.14248745e+00  1.14248744e+00  2.65729052e-06  7.57031565e-11  2.40567242e-01  2.41090412e-01  3.76759106e-07  2.12664219e-06 
 1.00000000e+00  4.03567556e-07  2.25370820e-06  3.73013018e-01  1.14248708e+00  8.11636893e-08  2.65729092e-06  9.93694016e-11  2.40577580e-01  2.41087637e-01  3.98877082e-07  2.10563524e-06 
 0.00000000e+00  4.21355207e-07  2.23592086e-06  3.73003690e-01  1.14248728e+00  1.14248727e+00  2.65729124e-06  8.66027701e-11  2.40585547e-01  2.41085416e-01  4.16424664e-07  2.08896445e-06 
 1.00000000e+00  4.44784661e-07  2.21249180e-06  3.72994432e-01  1.14248690e+00  8.11632909e-08  2.65729162e-06  1.10285621e-10  2.40595752e-01  2.41082469e-01  4.39532343e-07  2.06700521e-06 
 0.00000000e+00  4.63913719e-07  2.19336300e-06  3.72985579e-01  1.14248673e+00  1.14248672e+00  2.65729189e-06  1.21310577e-10  2.40603841e-01  2.41080041e-01  4.58394222e-07  2.04907568e-06 
