 net1            i(Vout)         i(Vdump)        i(Vin)         
 5.25116882e-02  5.03836976e-07  5.03641836e-07  1.00747935e-06 
 5.25729486e-02  5.10749047e-07  4.96728924e-07  1.00747851e-06 
 5.25817168e-02  5.20084883e-07  4.87392966e-07  1.00747839e-06 
 5.26071182e-02  5.30813201e-07  4.76664297e-07  1.00747804e-06 
 5.26208648e-02  5.42883176e-07  4.64594129e-07  1.00747786e-06 
 5.28586256e-02  5.48007759e-07  4.59466292e-07  1.00747460e-06 
 5.28695647e-02  5.56768388e-07  4.50705510e-07  1.00747445e-06 
 5.28974759e-02  5.67051517e-07  4.40421996e-07  1.00747407e-06 
 5.29138231e-02  5.78566190e-07  4.28907094e-07  1.00747385e-06 
 5.30057151e-02  5.90353813e-07  4.17118211e-07  1.00747259e-06 
 5.30235133e-02  6.01112008e-07  4.06359768e-07  1.00747235e-06 
 5.30668009e-02  6.15641726e-07  3.91829452e-07  1.00747176e-06 
 5.30939763e-02  6.30659331e-07  3.76811469e-07  1.00747138e-06 
 5.59094747e-02  6.11899171e-07  3.95533110e-07  1.00743285e-06 
 5.59207986e-02  6.18291411e-07  3.89140712e-07  1.00743270e-06 
 5.59455703e-02  6.26596450e-07  3.80835331e-07  1.00743236e-06 
 5.59619247e-02  6.35625762e-07  3.71805790e-07  1.00743214e-06 
 5.60339027e-02  6.43816593e-07  3.63613972e-07  1.00743115e-06 
 5.60505566e-02  6.51834170e-07  3.55596163e-07  1.00743092e-06 
 5.60870655e-02  6.63308977e-07  3.44120851e-07  1.00743042e-06 
 5.61117580e-02  6.75058970e-07  3.32370515e-07  1.00743008e-06 
 5.63690460e-02  6.80867164e-07  3.26558800e-07  1.00742656e-06 
 5.63872124e-02  6.88049321e-07  3.19376389e-07  1.00742631e-06 
 5.64254777e-02  6.98760253e-07  3.08664929e-07  1.00742579e-06 
 5.64520134e-02  7.09590959e-07  2.97833854e-07  1.00742542e-06 
 5.65592546e-02  7.22621912e-07  2.84801430e-07  1.00742396e-06 
 5.65863741e-02  7.32237984e-07  2.75184980e-07  1.00742358e-06 
 5.66442700e-02  7.47651149e-07  2.59771017e-07  1.00742279e-06 
 5.66851272e-02  7.62556010e-07  2.44865587e-07  1.00742223e-06 
 5.77147661e-02  7.67038318e-07  2.40369185e-07  1.00740813e-06 
 5.77367757e-02  7.73014038e-07  2.34393159e-07  1.00740783e-06 
 5.77814852e-02  7.83703747e-07  2.23702833e-07  1.00740722e-06 
 5.78139924e-02  7.93820600e-07  2.13585527e-07  1.00740677e-06 
 5.79294724e-02  8.06801617e-07  2.00602927e-07  1.00740519e-06 
 5.79615122e-02  8.15339902e-07  1.92064196e-07  1.00740475e-06 
 5.80277066e-02  8.30700114e-07  1.76703071e-07  1.00740384e-06 
 5.80761814e-02  8.44976374e-07  1.62426138e-07  1.00740318e-06 
 5.84716279e-02  8.60620733e-07  1.46776364e-07  1.00739776e-06 
 5.85059386e-02  8.68047432e-07  1.39349187e-07  1.00739729e-06 
 5.85758044e-02  8.82556497e-07  1.24839159e-07  1.00739633e-06 
 5.86274742e-02  8.95659424e-07  1.11735514e-07  1.00739563e-06 
 5.88072617e-02  9.16324356e-07  9.10681159e-08  1.00739316e-06 
 5.88589536e-02  9.27594293e-07  7.97974608e-08  1.00739245e-06 
 5.89661453e-02  9.49303526e-07  5.80867499e-08  1.00739099e-06 
 5.90461746e-02  9.68784094e-07  3.86050718e-08  1.00738989e-06 
