 net1            i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 0.00000000e+00  5.87403230e-07  2.16300380e-06  3.71936559e-01  1.14493603e+00  1.14493603e+00  2.75042206e-06  1.77681869e-10  2.38876320e-01  2.38042307e-01  5.96391757e-07  2.09232362e-06 
 1.00000000e+00  6.04362165e-07  2.14604433e-06  3.71950254e-01  1.14493467e+00  2.04983937e-07  2.75042152e-06  2.62721550e-10  2.38882288e-01  2.38040130e-01  6.13377063e-07  2.07600132e-06 
 0.00000000e+00  6.29088864e-07  2.12131716e-06  3.71962239e-01  1.14493520e+00  1.14493519e+00  2.75042105e-06  2.29583956e-10  2.38890799e-01  2.38036933e-01  6.38137482e-07  2.05220079e-06 
 1.00000000e+00  6.49855382e-07  2.10055008e-06  3.71976174e-01  1.14493384e+00  2.04979584e-07  2.75042049e-06  3.14578585e-10  2.38897764e-01  2.38034220e-01  6.58928164e-07  2.03220980e-06 
 0.00000000e+00  6.78251132e-07  2.07215330e-06  3.72002849e-01  1.14493788e+00  1.14493788e+00  2.75041946e-06  6.24709173e-11  2.38907055e-01  2.38030475e-01  6.87350704e-07  2.00487110e-06 
 1.00000000e+00  6.91815952e-07  2.05858783e-06  3.72017448e-01  1.14493652e+00  2.04993606e-07  2.75041882e-06  1.47504439e-10  2.38911394e-01  2.38028668e-01  7.00925893e-07  1.99180977e-06 
 0.00000000e+00  7.13459919e-07  2.03694339e-06  3.72030367e-01  1.14493705e+00  1.14493704e+00  2.75041834e-06  1.14349455e-10  2.38918197e-01  2.38025772e-01  7.22583222e-07  1.97096794e-06 
 1.00000000e+00  7.30908668e-07  2.01949408e-06  3.72045183e-01  1.14493569e+00  2.04989258e-07  2.75041777e-06  1.99381990e-10  2.38923579e-01  2.38023412e-01  7.40039830e-07  1.95416418e-06 
 0.00000000e+00  7.56632383e-07  1.99376987e-06  3.72057256e-01  1.14493706e+00  1.14493705e+00  2.75041727e-06  1.14017240e-10  2.38931341e-01  2.38019901e-01  7.65770697e-07  1.92938906e-06 
 1.00000000e+00  7.71923486e-07  1.97847816e-06  3.72072485e-01  1.14493569e+00  2.04989287e-07  2.75041667e-06  1.99034251e-10  2.38935873e-01  2.38017796e-01  7.81063395e-07  1.91466007e-06 
 0.00000000e+00  7.95639698e-07  1.95476139e-06  3.72086071e-01  1.14493622e+00  1.14493622e+00  2.75041611e-06  1.65901071e-10  2.38942767e-01  2.38014507e-01  8.04778535e-07  1.89181386e-06 
 1.00000000e+00  8.15035184e-07  1.93536522e-06  3.72101529e-01  1.14493486e+00  2.04984926e-07  2.75041545e-06  2.50919466e-10  2.38948296e-01  2.38011789e-01  8.24169877e-07  1.87312780e-06 
 0.00000000e+00  8.43112967e-07  1.90728682e-06  3.72117034e-01  1.14493681e+00  1.14493680e+00  2.75041481e-06  1.29394411e-10  2.38956130e-01  2.38007813e-01  8.52236479e-07  1.84607418e-06 
 1.00000000e+00  8.57121545e-07  1.89327757e-06  3.72132971e-01  1.14493544e+00  2.04987988e-07  2.75041415e-06  2.14419022e-10  2.38959968e-01  2.38005807e-01  8.66237228e-07  1.83257491e-06 
 0.00000000e+00  8.79865783e-07  1.87053282e-06  3.72147312e-01  1.14493598e+00  1.14493597e+00  2.75041363e-06  1.81277215e-10  2.38966097e-01  2.38002532e-01  8.88965658e-07  1.81065605e-06 
 1.00000000e+00  8.98114535e-07  1.85228337e-06  3.72163479e-01  1.14493461e+00  2.04983634e-07  2.75041294e-06  2.66305505e-10  2.38970930e-01  2.37999873e-01  9.07198983e-07  1.79306755e-06 
 0.00000000e+00  9.25285291e-07  1.82511210e-06  3.72176990e-01  1.14493598e+00  1.14493597e+00  2.75041242e-06  1.80936155e-10  2.38977992e-01  2.37995881e-01  9.34342154e-07  1.76687742e-06 
 1.00000000e+00  9.41255186e-07  1.80914155e-06  3.72193525e-01  1.14493462e+00  2.04983668e-07  2.75041178e-06  2.65947285e-10  2.38982070e-01  2.37993507e-01  9.50293387e-07  1.75148191e-06 
