 net1            i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 0.00000000e+00 -1.69037365e-12  2.06746327e-06  3.29707113e-01  1.13451844e+00  1.13451843e+00  2.06747623e-06  9.11843170e-12  2.36112485e-01  2.35538594e-01  9.77629888e-09  2.04269703e-06 
 1.00000000e+00  1.08252310e-08  2.05663618e-06  3.29712366e-01  1.13451773e+00  1.17821335e-07  2.06747606e-06  5.59559656e-11  2.36126750e-01  2.35537111e-01  2.09383266e-08  2.03209530e-06 
 0.00000000e+00  2.67923724e-08  2.04066890e-06  3.29716578e-01  1.13451803e+00  1.13451802e+00  2.06747593e-06  3.59923723e-11  2.36146700e-01  2.35534921e-01  3.73920699e-08  2.01645904e-06 
 1.00000000e+00  3.99116954e-08  2.02754944e-06  3.29722211e-01  1.13451732e+00  1.17820034e-07  2.06747580e-06  8.28350721e-11  2.36162214e-01  2.35533101e-01  5.09047471e-08  2.00361046e-06 
 0.00000000e+00  5.85421081e-08  2.00891888e-06  3.29727034e-01  1.13451759e+00  1.13451759e+00  2.06747563e-06  6.48294335e-11  2.36183031e-01  2.35530506e-01  7.00842637e-08  1.98536270e-06 
 1.00000000e+00  7.00495893e-08  1.99741124e-06  3.29733715e-01  1.13451688e+00  1.17818636e-07  2.06747548e-06  1.11683107e-10  2.36195249e-01  2.35528892e-01  8.19255330e-08  1.97409051e-06 
 0.00000000e+00  8.74399251e-08  1.98002059e-06  3.29739400e-01  1.13451718e+00  1.13451718e+00  2.06747517e-06  9.17026767e-11  2.36212870e-01  2.35526439e-01  9.98129526e-08  1.95705412e-06 
 1.00000000e+00  1.01743990e-07  1.96571639e-06  3.29746350e-01  1.13451647e+00  1.17817329e-07  2.06747502e-06  1.38540949e-10  2.36226669e-01  2.35524411e-01  1.14519489e-07  1.94303989e-06 
 0.00000000e+00  1.22798398e-07  1.94466182e-06  3.29752083e-01  1.13451692e+00  1.13451692e+00  2.06747486e-06  1.09039888e-10  2.36245962e-01  2.35521389e-01  1.36156242e-07  1.92241004e-06 
 1.00000000e+00  1.33056602e-07  1.93440329e-06  3.29760178e-01  1.13451621e+00  1.17816485e-07  2.06747454e-06  1.55885627e-10  2.36254947e-01  2.35519909e-01  1.46694079e-07  1.91235739e-06 
 0.00000000e+00  1.49785647e-07  1.91767412e-06  3.29767332e-01  1.13451651e+00  1.13451651e+00  2.06747440e-06  1.35919720e-10  2.36269093e-01  2.35517479e-01  1.63873455e-07  1.89596270e-06 
 1.00000000e+00  1.63111685e-07  1.90434782e-06  3.29775587e-01  1.13451580e+00  1.17815187e-07  2.06747416e-06  1.82737381e-10  2.36279920e-01  2.35515531e-01  1.77553474e-07  1.88290159e-06 
 0.00000000e+00  1.83167916e-07  1.88429136e-06  3.29783120e-01  1.13451608e+00  1.13451607e+00  2.06747393e-06  1.64753544e-10  2.36295561e-01  2.35512575e-01  1.98134577e-07  1.86324224e-06 
 1.00000000e+00  1.94698219e-07  1.87276079e-06  3.29792072e-01  1.13451537e+00  1.17813790e-07  2.06747366e-06  2.11565251e-10  2.36304213e-01  2.35510862e-01  2.09962582e-07  1.85193891e-06 
