 net1            i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 0.00000000e+00 -1.70270168e-12  2.56234320e-06  3.60063630e-01  1.14563613e+00  1.14563613e+00  2.56235650e-06  1.27830559e-11  2.37770149e-01  2.39054596e-01  1.10783080e-08  2.50284712e-06 
 1.00000000e+00  3.14115296e-08  2.53093090e-06  3.60039674e-01  1.14563511e+00  1.63852698e-07  2.56235741e-06  7.51557763e-11  2.37802486e-01  2.39051102e-01  4.31714700e-08  2.47236619e-06 
 0.00000000e+00  5.12126734e-08  2.51113056e-06  3.60017724e-01  1.14563516e+00  1.14563515e+00  2.56235822e-06  7.19251025e-11  2.37821309e-01  2.39048880e-01  6.33857482e-08  2.45315067e-06 
 1.00000000e+00  7.64370862e-08  2.48590698e-06  3.59996397e-01  1.14563414e+00  1.63848475e-07  2.56235904e-06  1.34287633e-10  2.37843790e-01  2.39046027e-01  8.91202756e-08  2.42866953e-06 
 0.00000000e+00  9.09580668e-08  2.47138672e-06  3.59976347e-01  1.14563450e+00  1.14563449e+00  2.56235978e-06  1.12169829e-10  2.37856045e-01  2.39044369e-01  1.03927032e-07  2.41457539e-06 
 1.00000000e+00  1.18678018e-07  2.44366756e-06  3.59955710e-01  1.14563347e+00  1.63845601e-07  2.56236055e-06  1.74502190e-10  2.37878209e-01  2.39041185e-01  1.32177473e-07  2.38766704e-06 
 0.00000000e+00  1.35775594e-07  2.42657076e-06  3.59936189e-01  1.14563353e+00  1.14563352e+00  2.56236133e-06  1.71311854e-10  2.37891147e-01  2.39039208e-01  1.49592772e-07  2.37106862e-06 
 1.00000000e+00  1.58047176e-07  2.40429987e-06  3.59917309e-01  1.14563250e+00  1.63841378e-07  2.56236201e-06  2.33641950e-10  2.37907246e-01  2.39036612e-01  1.72267921e-07  2.34944497e-06 
 0.00000000e+00  1.70262173e-07  2.39208569e-06  3.59895856e-01  1.14563525e+00  1.14563524e+00  2.56236284e-06  6.66169342e-11  2.37915741e-01  2.39035178e-01  1.84699392e-07  2.33758479e-06 
 1.00000000e+00  1.98802391e-07  2.36354613e-06  3.59876972e-01  1.14563422e+00  1.63848851e-07  2.56236351e-06  1.28991928e-10  2.37934743e-01  2.39031803e-01  2.13732726e-07  2.30986984e-06 
 0.00000000e+00  2.17285623e-07  2.34506371e-06  3.59858728e-01  1.14563428e+00  1.14563427e+00  2.56236430e-06  1.25768821e-10  2.37946473e-01  2.39029600e-01  2.32526052e-07  2.29191946e-06 
 1.00000000e+00  2.40606886e-07  2.32174300e-06  3.59841237e-01  1.14563325e+00  1.63844629e-07  2.56236487e-06  1.88136965e-10  2.37960676e-01  2.39026797e-01  2.56228708e-07  2.26926788e-06 
 0.00000000e+00  2.54496167e-07  2.30785437e-06  3.59824074e-01  1.14563361e+00  1.14563361e+00  2.56236552e-06  1.65988472e-10  2.37968838e-01  2.39025114e-01  2.70340063e-07  2.25577659e-06 
 1.00000000e+00  2.80143504e-07  2.28220772e-06  3.59806995e-01  1.14563259e+00  1.63841759e-07  2.56236619e-06  2.28340014e-10  2.37983383e-01  2.39021987e-01  2.96387752e-07  2.23086138e-06 
 0.00000000e+00  2.96341341e-07  2.26601048e-06  3.59790188e-01  1.14563264e+00  1.14563264e+00  2.56236678e-06  2.25111197e-10  2.37992231e-01  2.39019994e-01  3.12832185e-07  2.21512456e-06 
 1.00000000e+00  3.17210790e-07  2.24514165e-06  3.59774180e-01  1.14563162e+00  1.63837534e-07  2.56236740e-06  2.87455473e-10  2.38003281e-01  2.39017412e-01  3.34012352e-07  2.19484720e-06 
 0.00000000e+00  3.28017436e-07  2.23433545e-06  3.59762110e-01  1.14563537e+00  1.14563536e+00  2.56236786e-06  5.92002838e-11  2.38008852e-01  2.39016067e-01  3.44976911e-07  2.18434650e-06 
 1.00000000e+00  3.56313978e-07  2.20603954e-06  3.59745968e-01  1.14563434e+00  1.63849386e-07  2.56236850e-06  1.21560028e-10  2.38022994e-01  2.39012513e-01  3.73677452e-07  2.15684804e-06 
 0.00000000e+00  3.75520944e-07  2.18683318e-06  3.59729876e-01  1.14563440e+00  1.14563439e+00  2.56236909e-06  1.18346814e-10  2.38032246e-01  2.39010076e-01  3.93150977e-07  2.13818094e-06 
 1.00000000e+00  3.99084443e-07  2.16327025e-06  3.59714679e-01  1.14563337e+00  1.63845160e-07  2.56236965e-06  1.80702318e-10  2.38043231e-01  2.39007066e-01  4.17033464e-07  2.11527722e-06 
 0.00000000e+00  4.14117661e-07  2.14823756e-06  3.59699373e-01  1.14563374e+00  1.14563373e+00  2.56237020e-06  1.58561164e-10  2.38050050e-01  2.39005130e-01  4.32265530e-07  2.10066380e-06 
 1.00000000e+00  4.39759868e-07  2.12259596e-06  3.59684506e-01  1.14563271e+00  1.63842290e-07  2.56237080e-06  2.20925500e-10  2.38061339e-01  2.39001800e-01  4.58239036e-07  2.07573500e-06 
 0.00000000e+00  4.56832980e-07  2.10552337e-06  3.59669506e-01  1.14563276e+00  1.14563276e+00  2.56237134e-06  2.17690362e-10  2.38068640e-01  2.38999562e-01  4.75527177e-07  2.05913533e-06 
 1.00000000e+00  4.78121277e-07  2.08423560e-06  3.59655409e-01  1.14563174e+00  1.63838064e-07  2.56237186e-06  2.80039103e-10  2.38077509e-01  2.38996752e-01  4.97077636e-07  2.03843546e-06 
 0.00000000e+00  4.91204869e-07  2.07115266e-06  3.59637818e-01  1.14563448e+00  1.14563448e+00  2.56237251e-06  1.13041507e-10  2.38082841e-01  2.38995008e-01  5.10319069e-07  2.02571273e-06 
 1.00000000e+00  5.17642153e-07  2.04471596e-06  3.59623831e-01  1.14563346e+00  1.63845541e-07  2.56237310e-06  1.75393922e-10  2.38093345e-01  2.38991464e-01  5.37067972e-07  2.00000161e-06 
 0.00000000e+00  5.35864218e-07  2.02649439e-06  3.59609560e-01  1.14563351e+00  1.14563351e+00  2.56237357e-06  1.72168058e-10  2.38100381e-01  2.38988994e-01  5.55499200e-07  1.98227830e-06 
 1.00000000e+00  5.58081396e-07  2.00427783e-06  3.59596251e-01  1.14563249e+00  1.63841321e-07  2.56237418e-06  2.34521125e-10  2.38108760e-01  2.38985960e-01  5.77965238e-07  1.96066711e-06 
