 i-sweep         i(Vin)          i(Vout)         i(Vbias)        i(v1)           i(v2)           v(Vbp)          v(Vcn)         
 4.20000000e-08  4.20000000e-08  1.04489449e-06  1.00819191e-06  7.10542736e-15  1.04462063e-06  6.96033805e-01  7.27560310e-01 
 4.30000000e-08  4.30000000e-08  1.04586615e-06  1.00819193e-06  7.10542736e-15  1.04559200e-06  6.96033804e-01  7.27560313e-01 
 4.40000000e-08  4.40000000e-08  1.04683767e-06  1.00819190e-06  3.55271368e-15  1.04656324e-06  6.96033806e-01  7.27560309e-01 
 4.50000000e-08  4.50000000e-08  1.04780916e-06  1.00819193e-06  0.00000000e+00  1.04753444e-06  6.96033804e-01  7.27560313e-01 
 4.60000000e-08  4.60000000e-08  1.04878051e-06  1.00819191e-06  3.55271368e-15  1.04850551e-06  6.96033806e-01  7.27560310e-01 
 4.70000000e-08  4.70000000e-08  1.04975179e-06  1.00819191e-06  3.55271368e-15  1.04947652e-06  6.96033805e-01  7.27560311e-01 
 4.80000000e-08  4.80000000e-08  1.05072299e-06  1.00819192e-06  3.55271368e-15  1.05044743e-06  6.96033805e-01  7.27560309e-01 
 4.90000000e-08  4.90000000e-08  1.05169409e-06  1.00819191e-06  3.55271368e-15  1.05141825e-06  6.96033805e-01  7.27560310e-01 
 5.00000000e-08  5.00000000e-08  1.05266511e-06  1.00819192e-06  3.55271368e-15  1.05238898e-06  6.96033805e-01  7.27560311e-01 
 5.10000000e-08  5.10000000e-08  1.05363602e-06  1.00819191e-06  7.10542736e-15  1.05335961e-06  6.96033805e-01  7.27560310e-01 
 5.20000000e-08  5.20000000e-08  1.05460686e-06  1.00819193e-06  3.55271368e-15  1.05433018e-06  6.96033804e-01  7.27560311e-01 
 5.30000000e-08  5.30000000e-08  1.05557759e-06  1.00819192e-06  3.55271368e-15  1.05530062e-06  6.96033805e-01  7.27560311e-01 
 5.40000000e-08  5.40000000e-08  1.05654823e-06  1.00819191e-06  3.55271368e-15  1.05627098e-06  6.96033805e-01  7.27560308e-01 
 5.50000000e-08  5.50000000e-08  1.05751881e-06  1.00819193e-06  3.55271368e-15  1.05724128e-06  6.96033804e-01  7.27560313e-01 
 5.60000000e-08  5.60000000e-08  1.05848926e-06  1.00819192e-06  7.10542736e-15  1.05821146e-06  6.96033804e-01  7.27560310e-01 
 5.70000000e-08  5.70000000e-08  1.05945964e-06  1.00819192e-06  3.55271368e-15  1.05918155e-06  6.96033804e-01  7.27560311e-01 
 5.80000000e-08  5.80000000e-08  1.06042992e-06  1.00819191e-06  0.00000000e+00  1.06015154e-06  6.96033806e-01  7.27560309e-01 
 5.90000000e-08  5.90000000e-08  1.06140012e-06  1.00819192e-06  3.55271368e-15  1.06112146e-06  6.96033804e-01  7.27560311e-01 
 6.00000000e-08  6.00000000e-08  1.06237020e-06  1.00819190e-06  3.55271368e-15  1.06209127e-06  6.96033806e-01  7.27560311e-01 
 6.10000000e-08  6.10000000e-08  1.06334023e-06  1.00819192e-06  3.55271368e-15  1.06306101e-06  6.96033804e-01  7.27560311e-01 
 6.20000000e-08  6.20000000e-08  1.06431016e-06  1.00819192e-06  0.00000000e+00  1.06403065e-06  6.96033805e-01  7.27560311e-01 
 6.30000000e-08  6.30000000e-08  1.06527996e-06  1.00819192e-06  7.10542736e-15  1.06500018e-06  6.96033805e-01  7.27560311e-01 
 6.40000000e-08  6.40000000e-08  1.06624968e-06  1.00819190e-06  7.10542736e-15  1.06596962e-06  6.96033806e-01  7.27560312e-01 
 6.50000000e-08  6.50000000e-08  1.06721934e-06  1.00819192e-06  7.10542736e-15  1.06693900e-06  6.96033805e-01  7.27560310e-01 
 6.60000000e-08  6.60000000e-08  1.06818890e-06  1.00819193e-06  3.55271368e-15  1.06790828e-06  6.96033804e-01  7.27560313e-01 
 6.70000000e-08  6.70000000e-08  1.06915835e-06  1.00819192e-06  3.55271368e-15  1.06887744e-06  6.96033805e-01  7.27560311e-01 
 6.80000000e-08  6.80000000e-08  1.07012772e-06  1.00819192e-06  3.55271368e-15  1.06984652e-06  6.96033805e-01  7.27560313e-01 
 6.90000000e-08  6.90000000e-08  1.07109697e-06  1.00819190e-06  3.55271368e-15  1.07081550e-06  6.96033806e-01  7.27560308e-01 
 7.00000000e-08  7.00000000e-08  1.07206614e-06  1.00819191e-06  7.10542736e-15  1.07178440e-06  6.96033806e-01  7.27560311e-01 
 7.10000000e-08  7.10000000e-08  1.07303525e-06  1.00819193e-06  7.10542736e-15  1.07275322e-06  6.96033804e-01  7.27560311e-01 
 7.20000000e-08  7.20000000e-08  1.07400423e-06  1.00819191e-06  3.55271368e-15  1.07372192e-06  6.96033805e-01  7.27560312e-01 
 7.30000000e-08  7.30000000e-08  1.07497314e-06  1.00819192e-06  0.00000000e+00  1.07469054e-06  6.96033805e-01  7.27560312e-01 
 7.40000000e-08  7.40000000e-08  1.07594196e-06  1.00819193e-06  0.00000000e+00  1.07565908e-06  6.96033804e-01  7.27560313e-01 
 7.50000000e-08  7.50000000e-08  1.07691065e-06  1.00819191e-06  3.55271368e-15  1.07662749e-06  6.96033805e-01  7.27560310e-01 
 7.60000000e-08  7.60000000e-08  1.07787929e-06  1.00819193e-06  0.00000000e+00  1.07759584e-06  6.96033804e-01  7.27560312e-01 
 7.70000000e-08  7.70000000e-08  1.07884780e-06  1.00819192e-06  3.55271368e-15  1.07856408e-06  6.96033805e-01  7.27560312e-01 
 7.80000000e-08  7.80000000e-08  1.07981622e-06  1.00819191e-06  7.10542736e-15  1.07953222e-06  6.96033805e-01  7.27560309e-01 
 7.90000000e-08  7.90000000e-08  1.08078457e-06  1.00819192e-06  3.55271368e-15  1.08050029e-06  6.96033804e-01  7.27560313e-01 
 8.00000000e-08  8.00000000e-08  1.08175281e-06  1.00819193e-06  3.55271368e-15  1.08146825e-06  6.96033804e-01  7.27560311e-01 
 8.10000000e-08  8.10000000e-08  1.08272094e-06  1.00819192e-06  1.06581410e-14  1.08243611e-06  6.96033805e-01  7.27560312e-01 
 8.20000000e-08  8.20000000e-08  1.08368899e-06  1.00819191e-06  7.10542736e-15  1.08340387e-06  6.96033805e-01  7.27560309e-01 
 8.30000000e-08  8.30000000e-08  1.08465694e-06  1.00819191e-06  3.55271368e-15  1.08437154e-06  6.96033805e-01  7.27560312e-01 
 8.40000000e-08  8.40000000e-08  1.08562482e-06  1.00819192e-06  3.55271368e-15  1.08533913e-06  6.96033805e-01  7.27560313e-01 
 8.50000000e-08  8.50000000e-08  1.08659258e-06  1.00819192e-06  7.10542736e-15  1.08630662e-06  6.96033805e-01  7.27560310e-01 
 8.60000000e-08  8.60000000e-08  1.08756026e-06  1.00819192e-06  7.10542736e-15  1.08727401e-06  6.96033804e-01  7.27560312e-01 
 8.70000000e-08  8.70000000e-08  1.08852784e-06  1.00819193e-06  3.55271368e-15  1.08824131e-06  6.96033804e-01  7.27560310e-01 
 8.80000000e-08  8.80000000e-08  1.08949531e-06  1.00819192e-06  3.55271368e-15  1.08920850e-06  6.96033804e-01  7.27560313e-01 
 8.90000000e-08  8.90000000e-08  1.09046270e-06  1.00819191e-06  3.55271368e-15  1.09017560e-06  6.96033805e-01  7.27560309e-01 
 9.00000000e-08  9.00000000e-08  1.09142999e-06  1.00819193e-06  3.55271368e-15  1.09114262e-06  6.96033804e-01  7.27560313e-01 
 9.10000000e-08  9.10000000e-08  1.09239719e-06  1.00819192e-06  3.55271368e-15  1.09210953e-06  6.96033804e-01  7.27560311e-01 
 9.20000000e-08  9.20000000e-08  1.09336427e-06  1.00819191e-06  3.55271368e-15  1.09307633e-06  6.96033806e-01  7.27560311e-01 
 9.30000000e-08  9.30000000e-08  1.09433128e-06  1.00819191e-06  3.55271368e-15  1.09404306e-06  6.96033805e-01  7.27560309e-01 
 9.40000000e-08  9.40000000e-08  1.09529818e-06  1.00819191e-06  1.06581410e-14  1.09500968e-06  6.96033805e-01  7.27560311e-01 
 9.50000000e-08  9.50000000e-08  1.09626499e-06  1.00819191e-06  3.55271368e-15  1.09597621e-06  6.96033805e-01  7.27560312e-01 
 9.60000000e-08  9.60000000e-08  1.09723171e-06  1.00819191e-06  7.10542736e-15  1.09694264e-06  6.96033805e-01  7.27560310e-01 
 9.70000000e-08  9.70000000e-08  1.09819832e-06  1.00819191e-06  7.10542736e-15  1.09790897e-06  6.96033805e-01  7.27560308e-01 
 9.80000000e-08  9.80000000e-08  1.09916485e-06  1.00819191e-06  3.55271368e-15  1.09887521e-06  6.96033805e-01  7.27560311e-01 
 9.90000000e-08  9.90000000e-08  1.10013126e-06  1.00819192e-06  3.55271368e-15  1.09984136e-06  6.96033805e-01  7.27560309e-01 
 1.00000000e-07  1.00000000e-07  1.10109759e-06  1.00819191e-06  0.00000000e+00  1.10080739e-06  6.96033805e-01  7.27560311e-01 
 1.01000000e-07  1.01000000e-07  1.10206381e-06  1.00819191e-06  3.55271368e-15  1.10177334e-06  6.96033806e-01  7.27560309e-01 
 1.02000000e-07  1.02000000e-07  1.10302994e-06  1.00819191e-06  7.10542736e-15  1.10273919e-06  6.96033805e-01  7.27560310e-01 
 1.03000000e-07  1.03000000e-07  1.10399598e-06  1.00819191e-06  3.55271368e-15  1.10370494e-06  6.96033805e-01  7.27560311e-01 
 1.04000000e-07  1.04000000e-07  1.10496191e-06  1.00819192e-06  7.10542736e-15  1.10467060e-06  6.96033805e-01  7.27560311e-01 
 1.05000000e-07  1.05000000e-07  1.10592773e-06  1.00819191e-06  7.10542736e-15  1.10563614e-06  6.96033806e-01  7.27560312e-01 
 1.06000000e-07  1.06000000e-07  1.10689349e-06  1.00819192e-06  7.10542736e-15  1.10660162e-06  6.96033805e-01  7.27560311e-01 
 1.07000000e-07  1.07000000e-07  1.10785913e-06  1.00819192e-06  0.00000000e+00  1.10756697e-06  6.96033805e-01  7.27560312e-01 
 1.08000000e-07  1.08000000e-07  1.10882467e-06  1.00819191e-06  7.10542736e-15  1.10853222e-06  6.96033805e-01  7.27560308e-01 
 1.09000000e-07  1.09000000e-07  1.10979012e-06  1.00819193e-06  3.55271368e-15  1.10949741e-06  6.96033804e-01  7.27560313e-01 
 1.10000000e-07  1.10000000e-07  1.11075543e-06  1.00819190e-06  3.55271368e-15  1.11046243e-06  6.96033806e-01  7.27560310e-01 
 1.11000000e-07  1.11000000e-07  1.11172071e-06  1.00819192e-06  3.55271368e-15  1.11142743e-06  6.96033804e-01  7.27560310e-01 
 1.12000000e-07  1.12000000e-07  1.11268585e-06  1.00819192e-06  3.55271368e-15  1.11239230e-06  6.96033804e-01  7.27560313e-01 
 1.13000000e-07  1.13000000e-07  1.11365090e-06  1.00819193e-06  3.55271368e-15  1.11335706e-06  6.96033804e-01  7.27560310e-01 
 1.14000000e-07  1.14000000e-07  1.11461583e-06  1.00819190e-06  0.00000000e+00  1.11432171e-06  6.96033806e-01  7.27560311e-01 
 1.15000000e-07  1.15000000e-07  1.11558070e-06  1.00819192e-06  7.10542736e-15  1.11528630e-06  6.96033804e-01  7.27560311e-01 
 1.16000000e-07  1.16000000e-07  1.11654543e-06  1.00819191e-06  3.55271368e-15  1.11625075e-06  6.96033806e-01  7.27560311e-01 
 1.17000000e-07  1.17000000e-07  1.11751010e-06  1.00819193e-06  3.55271368e-15  1.11721514e-06  6.96033804e-01  7.27560311e-01 
 1.18000000e-07  1.18000000e-07  1.11847463e-06  1.00819190e-06  7.10542736e-15  1.11817938e-06  6.96033806e-01  7.27560311e-01 
 1.19000000e-07  1.19000000e-07  1.11943909e-06  1.00819191e-06  0.00000000e+00  1.11914356e-06  6.96033806e-01  7.27560310e-01 
 1.20000000e-07  1.20000000e-07  1.12040345e-06  1.00819193e-06  3.55271368e-15  1.12010765e-06  6.96033804e-01  7.27560312e-01 
 1.21000000e-07  1.21000000e-07  1.12136769e-06  1.00819191e-06  3.55271368e-15  1.12107160e-06  6.96033805e-01  7.27560312e-01 
 1.22000000e-07  1.22000000e-07  1.12233185e-06  1.00819192e-06  3.55271368e-15  1.12203548e-06  6.96033804e-01  7.27560311e-01 
 1.23000000e-07  1.23000000e-07  1.12329588e-06  1.00819191e-06  3.55271368e-15  1.12299923e-06  6.96033806e-01  7.27560313e-01 
 1.24000000e-07  1.24000000e-07  1.12425985e-06  1.00819192e-06  7.10542736e-15  1.12396292e-06  6.96033804e-01  7.27560311e-01 
 1.25000000e-07  1.25000000e-07  1.12522368e-06  1.00819190e-06  3.55271368e-15  1.12492647e-06  6.96033806e-01  7.27560310e-01 
 1.26000000e-07  1.26000000e-07  1.12618743e-06  1.00819191e-06  3.55271368e-15  1.12588994e-06  6.96033806e-01  7.27560311e-01 
 1.27000000e-07  1.27000000e-07  1.12715109e-06  1.00819192e-06  0.00000000e+00  1.12685331e-06  6.96033805e-01  7.27560312e-01 
 1.28000000e-07  1.28000000e-07  1.12811463e-06  1.00819192e-06  3.55271368e-15  1.12781658e-06  6.96033805e-01  7.27560312e-01 
