 net1            i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 0.00000000e+00 -1.69283623e-12  2.83998638e-06  3.75158421e-01  1.14640310e+00  1.14640309e+00  2.83999967e-06  9.92983473e-12  2.36884272e-01  2.37251369e-01 -1.87436022e-09  2.79257101e-06 
 1.00000000e+00  2.52113242e-08  2.81477382e-06  3.75148239e-01  1.14640243e+00  1.06922468e-07  2.84000013e-06  5.05935398e-11  2.36908806e-01  2.37248829e-01  2.29036452e-08  2.76800138e-06 
 0.00000000e+00  4.70185920e-08  2.79296690e-06  3.75139248e-01  1.14640203e+00  1.14640202e+00  2.84000046e-06  7.52016242e-11  2.36928609e-01  2.37246618e-01  4.43238442e-08  2.74674774e-06 
 1.00000000e+00  7.02572865e-08  2.76972853e-06  3.75130848e-01  1.14640136e+00  1.06919313e-07  2.84000081e-06  1.15849656e-10  2.36948446e-01  2.37244246e-01  6.71396005e-08  2.72409628e-06 
 0.00000000e+00  9.09009804e-08  2.74908517e-06  3.75123093e-01  1.14640135e+00  1.14640134e+00  2.84000112e-06  1.16880461e-10  2.36965093e-01  2.37242121e-01  8.73990160e-08  2.70397184e-06 
 1.00000000e+00  1.14565581e-07  2.72542088e-06  3.75115777e-01  1.14640068e+00  1.06917301e-07  2.84000144e-06  1.57542882e-10  2.36983165e-01  2.37239670e-01  1.10613744e-07  2.68089970e-06 
 0.00000000e+00  1.35748231e-07  2.70423851e-06  3.75109131e-01  1.14640028e+00  1.14640027e+00  2.84000172e-06  1.82126314e-10  2.36998516e-01  2.37237460e-01  1.31385541e-07  2.66024483e-06 
 1.00000000e+00  1.58095513e-07  2.68189151e-06  3.75102993e-01  1.14639961e+00  1.06914151e-07  2.84000199e-06  2.22802696e-10  2.37013944e-01  2.37235110e-01  1.53291513e-07  2.63845178e-06 
 0.00000000e+00  1.79215651e-07  2.66077178e-06  3.75092250e-01  1.14640203e+00  1.14640202e+00  2.84000243e-06  7.54019139e-11  2.37027870e-01  2.37232874e-01  1.73987322e-07  2.61785313e-06 
 1.00000000e+00  2.02635043e-07  2.63735259e-06  3.75086865e-01  1.14640136e+00  1.06919304e-07  2.84000262e-06  1.16044002e-10  2.37042630e-01  2.37230378e-01  1.96928392e-07  2.59500899e-06 
 0.00000000e+00  2.24172034e-07  2.61581581e-06  3.75081895e-01  1.14640096e+00  1.14640095e+00  2.84000285e-06  1.40680581e-10  2.37055620e-01  2.37228064e-01  2.18018597e-07  2.57399850e-06 
 1.00000000e+00  2.46535169e-07  2.59345289e-06  3.75077417e-01  1.14640029e+00  1.06916153e-07  2.84000303e-06  1.81319564e-10  2.37068570e-01  2.37225644e-01  2.39910937e-07  2.55217944e-06 
 0.00000000e+00  2.67613385e-07  2.57237480e-06  3.75073077e-01  1.14640027e+00  1.14640027e+00  2.84000317e-06  1.82350135e-10  2.37080312e-01  2.37223347e-01  2.60539281e-07  2.53161154e-06 
 1.00000000e+00  2.90221126e-07  2.54976726e-06  3.75069286e-01  1.14639961e+00  1.06914140e-07  2.84000337e-06  2.22993179e-10  2.37092437e-01  2.37220865e-01  2.82658236e-07  2.50954861e-06 
 0.00000000e+00  3.11569335e-07  2.52841920e-06  3.75065724e-01  1.14639921e+00  1.14639920e+00  2.84000353e-06  2.47588616e-10  2.37103476e-01  2.37218502e-01  3.03538977e-07  2.48871230e-06 
 1.00000000e+00  3.33544265e-07  2.50644440e-06  3.75062634e-01  1.14639854e+00  1.06910990e-07  2.84000365e-06  2.88264292e-10  2.37114451e-01  2.37216052e-01  3.25026992e-07  2.46726179e-06 
 0.00000000e+00  3.55029820e-07  2.48495915e-06  3.75055747e-01  1.14640108e+00  1.14640107e+00  2.84000395e-06  1.33284928e-10  2.37124822e-01  2.37213638e-01  3.46031113e-07  2.44628666e-06 
 1.00000000e+00  3.77633556e-07  2.46235549e-06  3.75053206e-01  1.14640041e+00  1.06916510e-07  2.84000405e-06  1.73940707e-10  2.37135380e-01  2.37211079e-01  3.68122608e-07  2.42421700e-06 
 0.00000000e+00  3.99384421e-07  2.44060474e-06  3.75050802e-01  1.14640001e+00  1.14640000e+00  2.84000416e-06  1.98548639e-10  2.37145215e-01  2.37208597e-01  3.89375359e-07  2.40297758e-06 
 1.00000000e+00  4.21454870e-07  2.41853437e-06  3.75048857e-01  1.14639935e+00  1.06913360e-07  2.84000424e-06  2.39211883e-10  2.37154893e-01  2.37206057e-01  4.10935121e-07  2.38142349e-06 
 0.00000000e+00  4.43181897e-07  2.39680744e-06  3.75046863e-01  1.14639933e+00  1.14639932e+00  2.84000432e-06  2.40234024e-10  2.37164134e-01  2.37203539e-01  4.32154605e-07  2.36020225e-06 
 1.00000000e+00  4.65246152e-07  2.37474326e-06  3.75045446e-01  1.14639866e+00  1.06911348e-07  2.84000440e-06  2.80887875e-10  2.37173252e-01  2.37200961e-01  4.53698473e-07  2.33864904e-06 
 0.00000000e+00  4.86961373e-07  2.35302809e-06  3.75044085e-01  1.14639826e+00  1.14639825e+00  2.84000445e-06  3.05491157e-10  2.37181974e-01  2.37198405e-01  4.74896913e-07  2.31743420e-06 
 1.00000000e+00  5.08834866e-07  2.33115458e-06  3.75043166e-01  1.14639760e+00  1.06908194e-07  2.84000443e-06  3.46147999e-10  2.37190522e-01  2.37195807e-01  4.96245290e-07  2.29606217e-06 
 0.00000000e+00  5.31391311e-07  2.30859838e-06  3.75037361e-01  1.14640001e+00  1.14640000e+00  2.84000470e-06  1.98765751e-10  2.37199102e-01  2.37193106e-01  5.18255483e-07  2.27402042e-06 
 1.00000000e+00  5.53182301e-07  2.28680739e-06  3.75036919e-01  1.14639934e+00  1.06913346e-07  2.84000467e-06  2.39415334e-10  2.37207171e-01  2.37190474e-01  5.39514419e-07  2.25272379e-06 
 0.00000000e+00  5.75007200e-07  2.26498254e-06  3.75036491e-01  1.14639894e+00  1.14639893e+00  2.84000472e-06  2.64034146e-10  2.37215056e-01  2.37187817e-01  5.60802153e-07  2.23139160e-06 
 1.00000000e+00  5.96766311e-07  2.24322343e-06  3.75036501e-01  1.14639827e+00  1.06910198e-07  2.84000474e-06  3.04670067e-10  2.37222719e-01  2.37185147e-01  5.82021604e-07  2.21012109e-06 
 0.00000000e+00  6.19022489e-07  2.22096726e-06  3.75036358e-01  1.14639826e+00  1.14639825e+00  2.84000470e-06  3.05693248e-10  2.37230372e-01  2.37182390e-01  6.03721620e-07  2.18836204e-06 
 1.00000000e+00  6.40634064e-07  2.19935567e-06  3.75036799e-01  1.14639759e+00  1.06908185e-07  2.84000470e-06  3.46343398e-10  2.37237625e-01  2.37179691e-01  6.24789207e-07  2.16723061e-06 
