 net1            i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 0.00000000e+00 -1.69740447e-12  2.52149567e-06  3.55193729e-01  1.14303861e+00  1.14303860e+00  2.52150883e-06  6.77857770e-12  2.37713428e-01  2.36738016e-01 -1.47390846e-08  2.48281990e-06 
 1.00000000e+00  1.06140643e-08  2.51087953e-06  3.55206126e-01  1.14303791e+00  1.16550623e-07  2.52150847e-06  4.97450969e-11  2.37725548e-01  2.36736821e-01 -4.49026594e-09  2.47246028e-06 
 0.00000000e+00  3.00134995e-08  2.49147969e-06  3.55216354e-01  1.14303851e+00  1.14303851e+00  2.52150807e-06  1.25943700e-11  2.37746583e-01  2.36734616e-01  1.42328247e-08  2.45352772e-06 
 1.00000000e+00  4.48078533e-08  2.47668479e-06  3.55228890e-01  1.14303781e+00  1.16550312e-07  2.52150751e-06  5.55537838e-11  2.37761747e-01  2.36732929e-01  2.85066513e-08  2.43908774e-06 
 0.00000000e+00  6.89243712e-08  2.45256791e-06  3.55240017e-01  1.14303782e+00  1.14303781e+00  2.52150716e-06  5.52277321e-11  2.37785030e-01  2.36730160e-01  5.17662091e-08  2.41554687e-06 
 1.00000000e+00  8.11502382e-08  2.44034159e-06  3.55253853e-01  1.14303712e+00  1.16548072e-07  2.52150669e-06  9.81863479e-11  2.37796216e-01  2.36728745e-01  6.35538484e-08  2.40361136e-06 
 0.00000000e+00  1.02901085e-07  2.41859020e-06  3.55265772e-01  1.14303772e+00  1.14303772e+00  2.52150615e-06  6.10478696e-11  2.37815203e-01  2.36726213e-01  8.45190371e-08  2.38237536e-06 
 1.00000000e+00  1.19811939e-07  2.40167886e-06  3.55279750e-01  1.14303702e+00  1.16547765e-07  2.52150568e-06  1.04004600e-10  2.37829218e-01  2.36724231e-01  1.00814068e-07  2.36586294e-06 
 0.00000000e+00  1.46772870e-07  2.37471741e-06  3.55293853e-01  1.14303736e+00  1.14303735e+00  2.52150514e-06  8.34106118e-11  2.37850372e-01  2.36721045e-01  1.26784444e-07  2.33953424e-06 
 1.00000000e+00  1.57257848e-07  2.36423180e-06  3.55309335e-01  1.14303666e+00  1.16546584e-07  2.52150454e-06  1.26383928e-10  2.37858232e-01  2.36719797e-01  1.36881432e-07  2.32929367e-06 
 0.00000000e+00  1.77905454e-07  2.34358375e-06  3.55323033e-01  1.14303726e+00  1.14303726e+00  2.52150407e-06  8.92266964e-11  2.37873166e-01  2.36717325e-01  1.56760700e-07  2.30912634e-06 
 1.00000000e+00  1.93368114e-07  2.32812051e-06  3.55338571e-01  1.14303657e+00  1.16546281e-07  2.52150351e-06  1.32214240e-10  2.37883911e-01  2.36715460e-01  1.71644311e-07  2.29402160e-06 
 0.00000000e+00  2.19434691e-07  2.30205345e-06  3.55352998e-01  1.14303657e+00  1.14303656e+00  2.52150300e-06  1.31855415e-10  2.37901239e-01  2.36712295e-01  1.96728033e-07  2.26855590e-06 
 1.00000000e+00  2.32134525e-07  2.28935294e-06  3.55369393e-01  1.14303587e+00  1.16544037e-07  2.52150236e-06  1.74835254e-10  2.37909349e-01  2.36710739e-01  2.08946096e-07  2.25614708e-06 
 0.00000000e+00  2.55585620e-07  2.26590133e-06  3.55384162e-01  1.14303648e+00  1.14303647e+00  2.52150184e-06  1.37669289e-10  2.37923800e-01  2.36707850e-01  2.31502675e-07  2.23323169e-06 
 1.00000000e+00  2.73649823e-07  2.24783654e-06  3.55400659e-01  1.14303578e+00  1.16543733e-07  2.52150124e-06  1.80623516e-10  2.37934501e-01  2.36705607e-01  2.48873704e-07  2.21557792e-06 
 0.00000000e+00  3.03268937e-07  2.21821709e-06  3.55408976e-01  1.14303760e+00  1.14303759e+00  2.52150089e-06  6.87769841e-11  2.37951300e-01  2.36701891e-01  2.77348741e-07  2.18662845e-06 
 1.00000000e+00  3.12131607e-07  2.20935378e-06  3.55426692e-01  1.14303690e+00  1.16547356e-07  2.52150025e-06  1.11769264e-10  2.37956161e-01  2.36700772e-01  2.85867305e-07  2.17796470e-06 
 0.00000000e+00  3.32248829e-07  2.18923592e-06  3.55442833e-01  1.14303750e+00  1.14303750e+00  2.52149963e-06  7.46097734e-11  2.37966918e-01  2.36698214e-01  3.05200583e-07  2.15829819e-06 
 1.00000000e+00  3.46648467e-07  2.17483565e-06  3.55460576e-01  1.14303680e+00  1.16547050e-07  2.52149900e-06  1.17579353e-10  2.37974403e-01  2.36696372e-01  3.19036698e-07  2.14421962e-06 
 0.00000000e+00  3.72627668e-07  2.14885582e-06  3.55477401e-01  1.14303681e+00  1.14303680e+00  2.52149836e-06  1.17250210e-10  2.37987466e-01  2.36693021e-01  3.43994399e-07  2.11881728e-06 
 1.00000000e+00  3.84017665e-07  2.13746513e-06  3.55495762e-01  1.14303611e+00  1.16544806e-07  2.52149767e-06  1.60209623e-10  2.37993030e-01  2.36691540e-01  3.54934585e-07  2.10767863e-06 
 0.00000000e+00  4.07086487e-07  2.11439574e-06  3.55512691e-01  1.14303671e+00  1.14303671e+00  2.52149710e-06  1.23058896e-10  2.38004003e-01  2.36688520e-01  3.77088915e-07  2.08511746e-06 
 1.00000000e+00  4.24292488e-07  2.09718896e-06  3.55531136e-01  1.14303601e+00  1.16544499e-07  2.52149633e-06  1.66000030e-10  2.38011944e-01  2.36686249e-01  3.93609845e-07  2.06828783e-06 
 0.00000000e+00  4.53567548e-07  2.06791323e-06  3.55550165e-01  1.14303635e+00  1.14303634e+00  2.52149565e-06  1.45430334e-10  2.38025018e-01  2.36682346e-01  4.21713734e-07  2.03965003e-06 
 1.00000000e+00  4.63178493e-07  2.05830157e-06  3.55569418e-01  1.14303565e+00  1.16543323e-07  2.52149495e-06  1.88386196e-10  2.38029189e-01  2.36681054e-01  4.30938684e-07  2.03024676e-06 
 0.00000000e+00  4.84897566e-07  2.03658185e-06  3.55587302e-01  1.14303626e+00  1.14303625e+00  2.52149429e-06  1.51231916e-10  2.38038429e-01  2.36678117e-01  4.51782785e-07  2.00899605e-06 
 1.00000000e+00  5.00513100e-07  2.02096566e-06  3.55606636e-01  1.14303556e+00  1.16543020e-07  2.52149363e-06  1.94198724e-10  2.38044908e-01  2.36675984e-01  4.66767039e-07  1.99371550e-06 
 0.00000000e+00  5.28568554e-07  1.99290946e-06  3.55625221e-01  1.14303556e+00  1.14303555e+00  2.52149291e-06  1.93883732e-10  2.38056220e-01  2.36672120e-01  4.93683723e-07  1.96625888e-06 
 1.00000000e+00  5.41017438e-07  1.98045986e-06  3.55645064e-01  1.14303486e+00  1.16540775e-07  2.52149218e-06  2.36834552e-10  2.38061115e-01  2.36670390e-01  5.05625502e-07  1.95407387e-06 
 0.00000000e+00  5.65994726e-07  1.95548184e-06  3.55663614e-01  1.14303547e+00  1.14303546e+00  2.52149145e-06  1.99666061e-10  2.38070707e-01  2.36666893e-01  5.29582051e-07  1.92962415e-06 
