 net1            i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 0.00000000e+00 -1.70130977e-12  2.72772228e-06  3.72561596e-01  1.14587184e+00  1.14587184e+00  2.72773569e-06  8.82174542e-12  2.38572188e-01  2.39693774e-01 -6.90301327e-09  2.57173361e-06 
 1.00000000e+00  3.11921667e-08  2.69652928e-06  3.72539138e-01  1.14587020e+00  2.55669364e-07  2.72773653e-06  1.10592424e-10  2.38603497e-01  2.39690485e-01  2.34109265e-08  2.54234339e-06 
 0.00000000e+00  5.23291791e-08  2.67539316e-06  3.72517415e-01  1.14587071e+00  1.14587070e+00  2.72773742e-06  7.91295918e-11  2.38623107e-01  2.39688241e-01  4.39416556e-08  2.52242723e-06 
 1.00000000e+00  7.80919550e-08  2.64963113e-06  3.72497580e-01  1.14586906e+00  2.55661805e-07  2.72773817e-06  1.80889970e-10  2.38645485e-01  2.39685479e-01  6.89554280e-08  2.49815056e-06 
 0.00000000e+00  9.44535247e-08  2.63327048e-06  3.72477409e-01  1.14587138e+00  1.14587137e+00  2.72773908e-06  3.78199035e-11  2.38658931e-01  2.39683714e-01  8.48357935e-08  2.48273221e-06 
 1.00000000e+00  1.22348033e-07  2.60537668e-06  3.72458419e-01  1.14586973e+00  2.55666252e-07  2.72773980e-06  1.39564804e-10  2.38680626e-01  2.39680682e-01  1.11900562e-07  2.45644325e-06 
 0.00000000e+00  1.41166825e-07  2.58655867e-06  3.72439278e-01  1.14587024e+00  1.14587023e+00  2.72774058e-06  1.08112630e-10  2.38694467e-01  2.39678619e-01  1.30153362e-07  2.43870674e-06 
 1.00000000e+00  1.64363820e-07  2.56336229e-06  3.72422023e-01  1.14586859e+00  2.55658688e-07  2.72774118e-06  2.09873424e-10  2.38710741e-01  2.39676058e-01  1.52646020e-07  2.41684210e-06 
 0.00000000e+00  1.78891602e-07  2.54883537e-06  3.72401480e-01  1.14587133e+00  1.14587133e+00  2.72774207e-06  4.05598367e-11  2.38720528e-01  2.39674444e-01  1.66729112e-07  2.40314845e-06 
 1.00000000e+00  2.07396844e-07  2.52033080e-06  3.72384436e-01  1.14586969e+00  2.55665956e-07  2.72774272e-06  1.42320564e-10  2.38738898e-01  2.39671257e-01  1.94354140e-07  2.37627709e-06 
 0.00000000e+00  2.27413964e-07  2.50031440e-06  3.72366781e-01  1.14587019e+00  1.14587019e+00  2.72774344e-06  1.10854352e-10  2.38751194e-01  2.39668996e-01  2.13747292e-07  2.35740631e-06 
 1.00000000e+00  2.51462853e-07  2.47626609e-06  3.72351100e-01  1.14586855e+00  2.55658394e-07  2.72774402e-06  2.12612150e-10  2.38765359e-01  2.39666260e-01  2.37040565e-07  2.33473289e-06 
 0.00000000e+00  2.67442875e-07  2.46028672e-06  3.72334109e-01  1.14587086e+00  1.14587086e+00  2.72774469e-06  6.95656865e-11  2.38774433e-01  2.39664430e-01  2.52514990e-07  2.31966616e-06 
 1.00000000e+00  2.93447712e-07  2.43428258e-06  3.72318933e-01  1.14586922e+00  2.55662840e-07  2.72774538e-06  1.71329617e-10  2.38788673e-01  2.39661429e-01  2.77691194e-07  2.29514573e-06 
 0.00000000e+00  3.11574092e-07  2.41615681e-06  3.72302816e-01  1.14586973e+00  1.14586972e+00  2.72774599e-06  1.39845469e-10  2.38798227e-01  2.39659319e-01  2.95235900e-07  2.27805303e-06 
 1.00000000e+00  3.33564336e-07  2.39416717e-06  3.72288687e-01  1.14586808e+00  2.55655283e-07  2.72774658e-06  2.41607710e-10  2.38809446e-01  2.39656743e-01  3.16516180e-07  2.25731549e-06 
 0.00000000e+00  3.47670377e-07  2.38006207e-06  3.72262928e-01  1.14587059e+00  1.14587059e+00  2.72774756e-06  8.61660361e-11  2.38816440e-01  2.39655079e-01  3.30164308e-07  2.24401281e-06 
 1.00000000e+00  3.75787762e-07  2.35194527e-06  3.72248874e-01  1.14586895e+00  2.55661049e-07  2.72774811e-06  1.87905139e-10  2.38829936e-01  2.39651737e-01  3.57363515e-07  2.21749394e-06 
 0.00000000e+00  3.96417865e-07  2.33131580e-06  3.72233673e-01  1.14586946e+00  1.14586945e+00  2.72774874e-06  1.56441856e-10  2.38839480e-01  2.39649260e-01  3.77315487e-07  2.19803545e-06 
 1.00000000e+00  4.20582199e-07  2.30715194e-06  3.72220530e-01  1.14586781e+00  2.55653490e-07  2.72774923e-06  2.58208179e-10  2.38850310e-01  2.39646336e-01  4.00680713e-07  2.17524171e-06 
