 v-sweep         i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 2.70000000e-02  2.56715247e-06  2.65707117e-08  3.61713352e-01  1.14302924e+00  2.09654219e-09  2.59373813e-06 -4.92535788e-12  2.37871669e-01  2.37173435e-01  1.29039290e-06 -9.34250555e-08 
 2.80000000e-02  2.56715249e-06  2.65707308e-08  3.61713360e-01  1.14302924e+00  2.09654219e-09  2.59373814e-06 -4.93000621e-12  2.37871673e-01  2.37173437e-01  1.33192308e-06 -8.86236204e-08 
 2.90000000e-02  2.56715240e-06  2.65707054e-08  3.61713348e-01  1.14302924e+00  2.09654219e-09  2.59373805e-06 -4.93718270e-12  2.37871670e-01  2.37173434e-01  1.37226581e-06 -8.40292145e-08 
 3.00000000e-02  2.56715243e-06  2.65707604e-08  3.61713358e-01  1.14302924e+00  2.09654219e-09  2.59373812e-06 -4.92344452e-12  2.37871673e-01  2.37173433e-01  1.41143604e-06 -7.96354103e-08 
 3.10000000e-02  2.56715243e-06  2.65707370e-08  3.61713357e-01  1.14302924e+00  2.09654219e-09  2.59373811e-06 -4.93537288e-12  2.37871673e-01  2.37173434e-01  1.44944937e-06 -7.54361388e-08 
 3.20000000e-02  2.56715239e-06  2.65707703e-08  3.61713352e-01  1.14302924e+00  2.09654219e-09  2.59373808e-06 -4.93140307e-12  2.37871671e-01  2.37173432e-01  1.48632185e-06 -7.14248243e-08 
 3.30000000e-02  2.56715242e-06  2.65707598e-08  3.61713357e-01  1.14302924e+00  2.09654219e-09  2.59373810e-06 -4.93160149e-12  2.37871672e-01  2.37173433e-01  1.52207022e-06 -6.75952663e-08 
 3.40000000e-02  2.56715249e-06  2.65707162e-08  3.61713355e-01  1.14302924e+00  2.09654219e-09  2.59373814e-06 -4.93294923e-12  2.37871671e-01  2.37173435e-01  1.55671175e-06 -6.39409662e-08 
 3.50000000e-02  2.56715249e-06  2.65707265e-08  3.61713353e-01  1.14302924e+00  2.09654219e-09  2.59373814e-06 -4.93402796e-12  2.37871670e-01  2.37173433e-01  1.59026418e-06 -6.04554452e-08 
 3.60000000e-02  2.56715249e-06  2.65707365e-08  3.61713357e-01  1.14302924e+00  2.09654219e-09  2.59373815e-06 -4.93869500e-12  2.37871671e-01  2.37173434e-01  1.62274587e-06 -5.71324249e-08 
 3.70000000e-02  2.56715247e-06  2.65707523e-08  3.61713354e-01  1.14302924e+00  2.09654219e-09  2.59373814e-06 -4.92843124e-12  2.37871670e-01  2.37173432e-01  1.65417573e-06 -5.39655185e-08 
 3.80000000e-02  2.56715244e-06  2.65707316e-08  3.61713355e-01  1.14302924e+00  2.09654219e-09  2.59373811e-06 -4.92956199e-12  2.37871671e-01  2.37173433e-01  1.68457312e-06 -5.09485647e-08 
 3.90000000e-02  2.56715239e-06  2.65707493e-08  3.61713352e-01  1.14302924e+00  2.09654219e-09  2.59373807e-06 -4.93808590e-12  2.37871671e-01  2.37173432e-01  1.71395794e-06 -4.80751884e-08 
 4.00000000e-02  2.56715247e-06  2.65707401e-08  3.61713359e-01  1.14302924e+00  2.09654219e-09  2.59373815e-06 -4.92864015e-12  2.37871672e-01  2.37173434e-01  1.74235060e-06 -4.53394602e-08 
 4.10000000e-02  2.56715244e-06  2.65707198e-08  3.61713355e-01  1.14302924e+00  2.09654219e-09  2.59373811e-06 -4.93734457e-12  2.37871671e-01  2.37173435e-01  1.76977171e-06 -4.27353382e-08 
