 net1            i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 0.00000000e+00  5.70906139e-07  2.02282636e-06  3.61468803e-01  1.14302625e+00  1.14302624e+00  2.59374743e-06  1.81390611e-10  2.37492600e-01  2.37804938e-01  5.63930895e-07  1.98516085e-06 
 1.00000000e+00  5.92474506e-07  2.00125812e-06  3.61463891e-01  1.14302531e+00  1.49776411e-07  2.59374759e-06  2.39632401e-10  2.37500455e-01  2.37801984e-01  5.85148840e-07  1.96413483e-06 
 0.00000000e+00  6.11309706e-07  1.98242313e-06  3.61458603e-01  1.14302531e+00  1.14302530e+00  2.59374776e-06  2.39644748e-10  2.37507157e-01  2.37799377e-01  6.03674529e-07  1.94577159e-06 
 1.00000000e+00  6.31496440e-07  1.96223661e-06  3.61454134e-01  1.14302437e+00  1.49772633e-07  2.59374798e-06  2.97912087e-10  2.37514184e-01  2.37796562e-01  6.23525979e-07  1.92608861e-06 
 0.00000000e+00  6.50199128e-07  1.94353419e-06  3.61446189e-01  1.14302812e+00  1.14302811e+00  2.59374826e-06  6.48235597e-11  2.37520563e-01  2.37793934e-01  6.41914822e-07  1.90785094e-06 
 1.00000000e+00  6.72617912e-07  1.92111559e-06  3.61442000e-01  1.14302718e+00  1.49783969e-07  2.59374845e-06  1.23103878e-10  2.37528036e-01  2.37790750e-01  6.63953422e-07  1.88598706e-06 
 0.00000000e+00  6.92576378e-07  1.90115731e-06  3.61437403e-01  1.14302718e+00  1.14302717e+00  2.59374862e-06  1.23130771e-10  2.37534542e-01  2.37787894e-01  6.83569866e-07  1.86652053e-06 
 1.00000000e+00  7.13640127e-07  1.88009374e-06  3.61433620e-01  1.14302625e+00  1.49780192e-07  2.59374881e-06  1.81394681e-10  2.37541263e-01  2.37784844e-01  7.04269091e-07  1.84597377e-06 
 0.00000000e+00  7.32523456e-07  1.86121057e-06  3.61428711e-01  1.14302718e+00  1.14302718e+00  2.59374895e-06  1.23081757e-10  2.37547171e-01  2.37782093e-01  7.22822477e-07  1.82755191e-06 
 1.00000000e+00  7.54028335e-07  1.83970581e-06  3.61425254e-01  1.14302625e+00  1.49780190e-07  2.59374906e-06  1.81366769e-10  2.37553768e-01  2.37778920e-01  7.43948140e-07  1.80657047e-06 
 0.00000000e+00  7.73466528e-07  1.82026777e-06  3.61421347e-01  1.14302625e+00  1.14302624e+00  2.59374926e-06  1.81378065e-10  2.37559609e-01  2.37776028e-01  7.63040417e-07  1.78760334e-06 
 1.00000000e+00  7.93884952e-07  1.79984947e-06  3.61418264e-01  1.14302531e+00  1.49776411e-07  2.59374935e-06  2.39655407e-10  2.37565634e-01  2.37772962e-01  7.83092325e-07  1.76767767e-06 
 0.00000000e+00  8.12534917e-07  1.78119968e-06  3.61413309e-01  1.14302718e+00  1.14302718e+00  2.59374954e-06  1.23100117e-10  2.37571036e-01  2.37770137e-01  8.01404678e-07  1.74947590e-06 
 1.00000000e+00  8.34042378e-07  1.75969234e-06  3.61410520e-01  1.14302625e+00  1.49780190e-07  2.59374964e-06  1.81387843e-10  2.37577152e-01  2.37766847e-01  8.22519633e-07  1.72848311e-06 
 0.00000000e+00  8.53783675e-07  1.73995116e-06  3.61407241e-01  1.14302625e+00  1.14302624e+00  2.59374979e-06  1.81390902e-10  2.37582659e-01  2.37763793e-01  8.41897597e-07  1.70921209e-06 
 1.00000000e+00  8.74325716e-07  1.71940918e-06  3.61404789e-01  1.14302531e+00  1.49776410e-07  2.59374982e-06  2.39642682e-10  2.37588295e-01  2.37760585e-01  8.62058487e-07  1.68915719e-06 
 0.00000000e+00  8.93351997e-07  1.70038300e-06  3.61401141e-01  1.14302624e+00  1.14302624e+00  2.59374996e-06  1.81396265e-10  2.37593417e-01  2.37757583e-01  8.80729083e-07  1.67058020e-06 
 1.00000000e+00  9.14221272e-07  1.67951390e-06  3.61399003e-01  1.14302531e+00  1.49776415e-07  2.59375011e-06  2.39630735e-10  2.37598950e-01  2.37754262e-01  9.01205162e-07  1.65020164e-06 
 0.00000000e+00  9.33676735e-07  1.66005852e-06  3.61396341e-01  1.14302531e+00  1.14302530e+00  2.59375020e-06  2.39641196e-10  2.37604018e-01  2.37751128e-01  9.20291377e-07  1.63120158e-06 
 1.00000000e+00  9.53818117e-07  1.63991721e-06  3.61394514e-01  1.14302437e+00  1.49772633e-07  2.59375026e-06  2.97912370e-10  2.37609181e-01  2.37747856e-01  9.40047645e-07  1.61152948e-06 
 0.00000000e+00  9.73006690e-07  1.62072879e-06  3.61390054e-01  1.14302718e+00  1.14302718e+00  2.59375040e-06  1.23108634e-10  2.37614025e-01  2.37744705e-01  9.58866753e-07  1.59278609e-06 
 1.00000000e+00  9.94097486e-07  1.59963811e-06  3.61388507e-01  1.14302625e+00  1.49780192e-07  2.59375051e-06  1.81387350e-10  2.37619259e-01  2.37741203e-01  9.79548537e-07  1.57218227e-06 
 0.00000000e+00  1.01402687e-06  1.57970874e-06  3.61386435e-01  1.14302625e+00  1.14302624e+00  2.59375057e-06  1.81380244e-10  2.37624125e-01  2.37737860e-01  9.99088744e-07  1.55271081e-06 
 1.00000000e+00  1.03444411e-06  1.55929155e-06  3.61385201e-01  1.14302531e+00  1.49776413e-07  2.59375062e-06  2.39644748e-10  2.37629038e-01  2.37734400e-01  1.01910452e-06  1.53276055e-06 
 0.00000000e+00  1.05393966e-06  1.53979611e-06  3.61382731e-01  1.14302625e+00  1.14302624e+00  2.59375067e-06  1.81373010e-10  2.37633654e-01  2.37731056e-01  1.03821415e-06  1.51370883e-06 
 1.00000000e+00  1.07451543e-06  1.51922030e-06  3.61381766e-01  1.14302531e+00  1.49776407e-07  2.59375066e-06  2.39649712e-10  2.37638450e-01  2.37727483e-01  1.05838006e-06  1.49359919e-06 
 0.00000000e+00  1.09426808e-06  1.49946777e-06  3.61380292e-01  1.14302531e+00  1.14302530e+00  2.59375077e-06  2.39644993e-10  2.37642995e-01  2.37724027e-01  1.07773651e-06  1.47429191e-06 
 1.00000000e+00  1.11439767e-06  1.47933821e-06  3.61379640e-01  1.14302437e+00  1.49772634e-07  2.59375083e-06  2.97909610e-10  2.37647560e-01  2.37720461e-01  1.09745986e-06  1.45461395e-06 
 0.00000000e+00  1.13397971e-06  1.45975624e-06  3.61377041e-01  1.14302625e+00  1.14302624e+00  2.59375088e-06  1.81390902e-10  2.37651926e-01  2.37716948e-01  1.11664432e-06  1.43546914e-06 
 1.00000000e+00  1.15446152e-06  1.43927454e-06  3.61376673e-01  1.14302531e+00  1.49776416e-07  2.59375098e-06  2.39644748e-10  2.37656441e-01  2.37713235e-01  1.13670763e-06  1.41544244e-06 
