 net1            i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 0.00000000e+00 -1.68399015e-12  2.58363674e-06  3.59298501e-01  1.14306797e+00  1.14306796e+00  2.58364993e-06  4.82068205e-12  2.35596725e-01  2.37019882e-01 -4.78715556e-09  2.39906452e-06 
 1.00000000e+00  3.28192172e-08  2.55081688e-06  3.59271709e-01  1.14306742e+00  8.86923774e-08  2.58365097e-06  3.90225109e-11  2.35631780e-01  2.37016245e-01  2.73969842e-08  2.36848224e-06 
 0.00000000e+00  5.27109918e-08  2.53092603e-06  3.59248341e-01  1.14306687e+00  1.14306686e+00  2.58365190e-06  7.30836398e-11  2.35651291e-01  2.37014015e-01  4.68910688e-08  2.34994611e-06 
 1.00000000e+00  7.87050044e-08  2.50493294e-06  3.59224382e-01  1.14306632e+00  8.86896432e-08  2.58365281e-06  1.07287627e-10  2.35675115e-01  2.37011084e-01  7.23529947e-08  2.32572163e-06 
 0.00000000e+00  9.23998297e-08  2.49123895e-06  3.59201900e-01  1.14306721e+00  1.14306720e+00  2.58365365e-06  5.18035094e-11  2.35686986e-01  2.37009529e-01  8.57620055e-08  2.31295862e-06 
 1.00000000e+00  1.21174655e-07  2.46246499e-06  3.59178656e-01  1.14306666e+00  8.86904968e-08  2.58365453e-06  8.59685656e-11  2.35710570e-01  2.37006234e-01  1.13924967e-07  2.28613918e-06 
 0.00000000e+00  1.38088372e-07  2.44555205e-06  3.59157808e-01  1.14306611e+00  1.14306610e+00  2.58365527e-06  1.20042642e-10  2.35723658e-01  2.37004283e-01  1.30472088e-07  2.27037400e-06 
 1.00000000e+00  1.60814943e-07  2.42282633e-06  3.59136434e-01  1.14306556e+00  8.86877614e-08  2.58365613e-06  1.54251723e-10  2.35740434e-01  2.37001639e-01  1.52698387e-07  2.24918933e-06 
 0.00000000e+00  1.72343831e-07  2.41129816e-06  3.59116698e-01  1.14306751e+00  1.14306750e+00  2.58365687e-06  3.31951237e-11  2.35748615e-01  2.37000292e-01  1.63970286e-07  2.23844228e-06 
 1.00000000e+00  2.02095788e-07  2.38154703e-06  3.59095260e-01  1.14306696e+00  8.86912413e-08  2.58365770e-06  6.73921341e-11  2.35768807e-01  2.36996785e-01  1.93049345e-07  2.21070545e-06 
