 net1            i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 0.00000000e+00 -1.72875921e-12  2.67961817e-06  3.79330766e-01  1.14208696e+00  1.14208696e+00  2.67963175e-06  1.49924517e-11  2.43251383e-01  2.43138631e-01  5.62868863e-10  2.75976354e-06 
 1.00000000e+00  1.97347863e-08  2.65988165e-06  3.79330082e-01  1.14208523e+00  3.01623328e-07  2.67963175e-06  1.25204735e-10  2.43272427e-01  2.43136514e-01  2.00994847e-08  2.73977867e-06 
 0.00000000e+00  4.04280202e-08  2.63918854e-06  3.79327327e-01  1.14208625e+00  1.14208624e+00  2.67963186e-06  6.05098194e-11  2.43293121e-01  2.43134277e-01  4.05743634e-08  2.71882223e-06 
 1.00000000e+00  6.03766797e-08  2.61923986e-06  3.79327962e-01  1.14208451e+00  3.01617746e-07  2.67963184e-06  1.70722736e-10  2.43311891e-01  2.43132109e-01  6.03045258e-08  2.69861679e-06 
 0.00000000e+00  8.17729246e-08  2.59784366e-06  3.79326692e-01  1.14208530e+00  1.14208529e+00  2.67963189e-06  1.20663924e-10  2.43330882e-01  2.43129763e-01  8.14581718e-08  2.67694205e-06 
 1.00000000e+00  1.01089355e-07  2.57852713e-06  3.79328594e-01  1.14208356e+00  3.01610371e-07  2.67963181e-06  2.30851782e-10  2.43347114e-01  2.43127633e-01  1.00548647e-07  2.65737124e-06 
 0.00000000e+00  1.22212797e-07  2.55740374e-06  3.79328153e-01  1.14208458e+00  1.14208458e+00  2.67963184e-06  1.66153313e-10  2.43363978e-01  2.43125289e-01  1.21417825e-07  2.63596678e-06 
 1.00000000e+00  1.42342107e-07  2.53727433e-06  3.79330932e-01  1.14208285e+00  3.01604793e-07  2.67963174e-06  2.76358492e-10  2.43379267e-01  2.43123035e-01  1.41298111e-07  2.61556648e-06 
 0.00000000e+00  1.64688345e-07  2.51492819e-06  3.79328228e-01  1.14208571e+00  1.14208571e+00  2.67963184e-06  9.45420516e-11  2.43395426e-01  2.43120516e-01  1.63360683e-07  2.59291629e-06 
 1.00000000e+00  1.83241294e-07  2.49637507e-06  3.79332120e-01  1.14208397e+00  3.01613574e-07  2.67963168e-06  2.04753547e-10  2.43408252e-01  2.43118410e-01  1.81672524e-07  2.57410801e-06 
 0.00000000e+00  2.04199090e-07  2.47541730e-06  3.79333536e-01  1.14208499e+00  1.14208499e+00  2.67963171e-06  1.40069290e-10  2.43422144e-01  2.43116016e-01  2.02352258e-07  2.55285902e-06 
 1.00000000e+00  2.23830274e-07  2.45578585e-06  3.79338071e-01  1.14208326e+00  3.01607992e-07  2.67963145e-06  2.50269333e-10  2.43434632e-01  2.43113754e-01  2.21717583e-07  2.53295189e-06 
 0.00000000e+00  2.46179465e-07  2.43343655e-06  3.79340424e-01  1.14208405e+00  1.14208404e+00  2.67963133e-06  2.00171094e-10  2.43448281e-01  2.43111161e-01  2.43757990e-07  2.51028544e-06 
 1.00000000e+00  2.64996129e-07  2.41461968e-06  3.79345781e-01  1.14208231e+00  3.01600619e-07  2.67963114e-06  3.10375725e-10  2.43459340e-01  2.43108960e-01  2.62309836e-07  2.49119876e-06 
 0.00000000e+00  2.86816698e-07  2.39279905e-06  3.79348590e-01  1.14208333e+00  1.14208333e+00  2.67963107e-06  2.45687422e-10  2.43471696e-01  2.43106390e-01  2.83818023e-07  2.46906201e-06 
 1.00000000e+00  3.07116065e-07  2.37249946e-06  3.79354467e-01  1.14208159e+00  3.01595044e-07  2.67963085e-06  3.55893093e-10  2.43482779e-01  2.43103981e-01  3.03821851e-07  2.44846526e-06 
 0.00000000e+00  3.31478710e-07  2.34813624e-06  3.79367566e-01  1.14208636e+00  1.14208635e+00  2.67963027e-06  5.33865324e-11  2.43495593e-01  2.43101063e-01  3.27823672e-07  2.42374148e-06 
 1.00000000e+00  3.48967442e-07  2.33064730e-06  3.79374338e-01  1.14208462e+00  3.01618621e-07  2.67963004e-06  1.63619404e-10  2.43504483e-01  2.43098955e-01  3.45049445e-07  2.40599107e-06 
 0.00000000e+00  3.69892268e-07  2.30972230e-06  3.79378514e-01  1.14208564e+00  1.14208564e+00  2.67962989e-06  9.89148768e-11  2.43514801e-01  2.43096414e-01  3.65655497e-07  2.38475029e-06 
