 i-sweep         i(Vin)          i(Vout)         i(Vbias)        i(v1)           i(v2)           i(vout1)        v(vbp)          v(vcn)         
 3.70000000e-08  3.70000000e-08  4.23923883e-08  1.00819193e-06  9.93928163e-07  1.03631954e-06  4.32845612e-08  6.96033804e-01  7.27560312e-01 
 3.80000000e-08  3.80000000e-08  4.33260041e-08  1.00819192e-06  9.93953368e-07  1.03727836e-06  4.42348808e-08  6.96033805e-01  7.27560313e-01 
 3.90000000e-08  3.90000000e-08  4.42601351e-08  1.00819193e-06  9.93978055e-07  1.03823718e-06  4.51856587e-08  6.96033804e-01  7.27560312e-01 
 4.00000000e-08  4.00000000e-08  4.51947795e-08  1.00819190e-06  9.94002178e-07  1.03919595e-06  4.61368830e-08  6.96033806e-01  7.27560311e-01 
 4.10000000e-08  4.10000000e-08  4.61299052e-08  1.00819191e-06  9.94025825e-07  1.04015472e-06  4.70885264e-08  6.96033806e-01  7.27560310e-01 
 4.20000000e-08  4.20000000e-08  4.70654875e-08  1.00819191e-06  9.94048982e-07  1.04111346e-06  4.80405645e-08  6.96033805e-01  7.27560312e-01 
 4.30000000e-08  4.30000000e-08  4.80015014e-08  1.00819191e-06  9.94071673e-07  1.04207217e-06  4.89929728e-08  6.96033805e-01  7.27560309e-01 
 4.40000000e-08  4.40000000e-08  4.89379328e-08  1.00819191e-06  9.94093915e-07  1.04303084e-06  4.99457425e-08  6.96033805e-01  7.27560313e-01 
 4.50000000e-08  4.50000000e-08  4.98747497e-08  1.00819192e-06  9.94115721e-07  1.04398947e-06  5.08988343e-08  6.96033805e-01  7.27560309e-01 
 4.60000000e-08  4.60000000e-08  5.08119573e-08  1.00819193e-06  9.94137121e-07  1.04494808e-06  5.18522530e-08  6.96033804e-01  7.27560313e-01 
 4.70000000e-08  4.70000000e-08  5.17495167e-08  1.00819192e-06  9.94158107e-07  1.04590662e-06  5.28059768e-08  6.96033804e-01  7.27560311e-01 
 4.80000000e-08  4.80000000e-08  5.26874118e-08  1.00819192e-06  9.94178698e-07  1.04686511e-06  5.37599761e-08  6.96033805e-01  7.27560309e-01 
 4.90000000e-08  4.90000000e-08  5.36256390e-08  1.00819192e-06  9.94198931e-07  1.04782357e-06  5.47142493e-08  6.96033805e-01  7.27560312e-01 
 5.00000000e-08  5.00000000e-08  5.45641683e-08  1.00819193e-06  9.94218803e-07  1.04878198e-06  5.56687695e-08  6.96033804e-01  7.27560313e-01 
 5.10000000e-08  5.10000000e-08  5.55030013e-08  1.00819191e-06  9.94238308e-07  1.04974032e-06  5.66235353e-08  6.96033805e-01  7.27560310e-01 
 5.20000000e-08  5.20000000e-08  5.64421221e-08  1.00819191e-06  9.94257483e-07  1.05069861e-06  5.75785413e-08  6.96033805e-01  7.27560311e-01 
 5.30000000e-08  5.30000000e-08  5.73815040e-08  1.00819193e-06  9.94276354e-07  1.05165686e-06  5.85337506e-08  6.96033804e-01  7.27560309e-01 
 5.40000000e-08  5.40000000e-08  5.83211470e-08  1.00819192e-06  9.94294888e-07  1.05261504e-06  5.94891676e-08  6.96033804e-01  7.27560311e-01 
 5.50000000e-08  5.50000000e-08  5.92610334e-08  1.00819191e-06  9.94313103e-07  1.05357315e-06  6.04447808e-08  6.96033806e-01  7.27560311e-01 
 5.60000000e-08  5.60000000e-08  6.02011596e-08  1.00819192e-06  9.94331049e-07  1.05453122e-06  6.14005776e-08  6.96033804e-01  7.27560311e-01 
 5.70000000e-08  5.70000000e-08  6.11415096e-08  1.00819192e-06  9.94348694e-07  1.05548921e-06  6.23565477e-08  6.96033805e-01  7.27560313e-01 
 5.80000000e-08  5.80000000e-08  6.20820693e-08  1.00819193e-06  9.94366072e-07  1.05644715e-06  6.33126764e-08  6.96033804e-01  7.27560314e-01 
 5.90000000e-08  5.90000000e-08  6.30228296e-08  1.00819191e-06  9.94383155e-07  1.05740500e-06  6.42689567e-08  6.96033805e-01  7.27560310e-01 
 6.00000000e-08  6.00000000e-08  6.39637925e-08  1.00819191e-06  9.94399988e-07  1.05836279e-06  6.52253903e-08  6.96033805e-01  7.27560313e-01 
 6.10000000e-08  6.10000000e-08  6.49049348e-08  1.00819192e-06  9.94416583e-07  1.05932053e-06  6.61819517e-08  6.96033805e-01  7.27560309e-01 
 6.20000000e-08  6.20000000e-08  6.58462547e-08  1.00819191e-06  9.94432909e-07  1.06027817e-06  6.71386475e-08  6.96033805e-01  7.27560312e-01 
 6.30000000e-08  6.30000000e-08  6.67877416e-08  1.00819191e-06  9.94448996e-07  1.06123575e-06  6.80954626e-08  6.96033806e-01  7.27560310e-01 
 6.40000000e-08  6.40000000e-08  6.77293883e-08  1.00819192e-06  9.94464870e-07  1.06219327e-06  6.90523902e-08  6.96033805e-01  7.27560313e-01 
 6.50000000e-08  6.50000000e-08  6.86711861e-08  1.00819191e-06  9.94480493e-07  1.06315070e-06  7.00094225e-08  6.96033805e-01  7.27560309e-01 
 6.60000000e-08  6.60000000e-08  6.96131401e-08  1.00819193e-06  9.94495924e-07  1.06410808e-06  7.09665639e-08  6.96033804e-01  7.27560313e-01 
 6.70000000e-08  6.70000000e-08  7.05552115e-08  1.00819192e-06  9.94511119e-07  1.06506535e-06  7.19237784e-08  6.96033804e-01  7.27560313e-01 
 6.80000000e-08  6.80000000e-08  7.14974266e-08  1.00819193e-06  9.94526117e-07  1.06602257e-06  7.28810862e-08  6.96033804e-01  7.27560311e-01 
 6.90000000e-08  6.90000000e-08  7.24397662e-08  1.00819191e-06  9.94540883e-07  1.06697967e-06  7.38384815e-08  6.96033805e-01  7.27560313e-01 
 7.00000000e-08  7.00000000e-08  7.33822301e-08  1.00819192e-06  9.94555474e-07  1.06793673e-06  7.47959514e-08  6.96033805e-01  7.27560310e-01 
 7.10000000e-08  7.10000000e-08  7.43247988e-08  1.00819192e-06  9.94569870e-07  1.06889369e-06  7.57534914e-08  6.96033805e-01  7.27560311e-01 
 7.20000000e-08  7.20000000e-08  7.52674776e-08  1.00819191e-06  9.94584068e-07  1.06985057e-06  7.67110940e-08  6.96033805e-01  7.27560310e-01 
 7.30000000e-08  7.30000000e-08  7.62102541e-08  1.00819193e-06  9.94598112e-07  1.07080739e-06  7.76687479e-08  6.96033804e-01  7.27560313e-01 
 7.40000000e-08  7.40000000e-08  7.71531141e-08  1.00819190e-06  9.94611931e-07  1.07176408e-06  7.86264474e-08  6.96033806e-01  7.27560311e-01 
 7.50000000e-08  7.50000000e-08  7.80960843e-08  1.00819191e-06  9.94625609e-07  1.07272072e-06  7.95842123e-08  6.96033805e-01  7.27560309e-01 
 7.60000000e-08  7.60000000e-08  7.90391415e-08  1.00819193e-06  9.94639116e-07  1.07367728e-06  8.05420258e-08  6.96033804e-01  7.27560313e-01 
 7.70000000e-08  7.70000000e-08  7.99822644e-08  1.00819192e-06  9.94652448e-07  1.07463374e-06  8.14998643e-08  6.96033804e-01  7.27560312e-01 
 7.80000000e-08  7.80000000e-08  8.09254725e-08  1.00819191e-06  9.94665605e-07  1.07559010e-06  8.24577491e-08  6.96033805e-01  7.27560309e-01 
 7.90000000e-08  7.90000000e-08  8.18687482e-08  1.00819191e-06  9.94678610e-07  1.07654638e-06  8.34156541e-08  6.96033806e-01  7.27560311e-01 
 8.00000000e-08  8.00000000e-08  8.28120736e-08  1.00819192e-06  9.94691479e-07  1.07750259e-06  8.43735773e-08  6.96033805e-01  7.27560310e-01 
 8.10000000e-08  8.10000000e-08  8.37554825e-08  1.00819190e-06  9.94704170e-07  1.07845868e-06  8.53315416e-08  6.96033806e-01  7.27560311e-01 
 8.20000000e-08  8.20000000e-08  8.46989430e-08  1.00819191e-06  9.94716730e-07  1.07941470e-06  8.62895236e-08  6.96033806e-01  7.27560310e-01 
 8.30000000e-08  8.30000000e-08  8.56424567e-08  1.00819193e-06  9.94729161e-07  1.08037065e-06  8.72475174e-08  6.96033804e-01  7.27560313e-01 
 8.40000000e-08  8.40000000e-08  8.65860095e-08  1.00819191e-06  9.94741413e-07  1.08132646e-06  8.82055132e-08  6.96033806e-01  7.27560310e-01 
 8.50000000e-08  8.50000000e-08  8.75296191e-08  1.00819192e-06  9.94753556e-07  1.08228221e-06  8.91635250e-08  6.96033805e-01  7.27560312e-01 
 8.60000000e-08  8.60000000e-08  8.84732749e-08  1.00819190e-06  9.94765541e-07  1.08323785e-06  9.01215442e-08  6.96033806e-01  7.27560309e-01 
 8.70000000e-08  8.70000000e-08  8.94169663e-08  1.00819192e-06  9.94777428e-07  1.08419343e-06  9.10795703e-08  6.96033804e-01  7.27560312e-01 
 8.80000000e-08  8.80000000e-08  9.03606932e-08  1.00819191e-06  9.94789151e-07  1.08514888e-06  9.20375947e-08  6.96033805e-01  7.27560312e-01 
 8.90000000e-08  8.90000000e-08  9.13044520e-08  1.00819192e-06  9.94800772e-07  1.08610426e-06  9.29956050e-08  6.96033805e-01  7.27560310e-01 
 9.00000000e-08  9.00000000e-08  9.22482357e-08  1.00819192e-06  9.94812259e-07  1.08705953e-06  9.39536111e-08  6.96033804e-01  7.27560311e-01 
 9.10000000e-08  9.10000000e-08  9.31920479e-08  1.00819192e-06  9.94823626e-07  1.08801471e-06  9.49116096e-08  6.96033804e-01  7.27560310e-01 
 9.20000000e-08  9.20000000e-08  9.41358884e-08  1.00819191e-06  9.94834851e-07  1.08896977e-06  9.58696068e-08  6.96033806e-01  7.27560312e-01 
