 v-sweep         i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 5.28000000e-01  2.66356381e-12  2.65503824e-12  3.30397363e-02  4.73112037e-01  3.75374435e-10  7.41562367e-12  2.51957309e-12  3.30139081e-02  3.29805327e-02  2.62083688e-11  2.62048161e-11 
 5.29000000e-01  2.76197209e-12  2.75275570e-12  3.36636821e-02  4.75503207e-01  3.76171776e-10  7.65143504e-12  2.55693904e-12  3.36379914e-02  3.36047278e-02  2.62083688e-11  2.62083688e-11 
 5.30000000e-01  2.86202170e-12  2.85484210e-12  3.42982729e-02  4.77774757e-01  3.76969722e-10  7.89568411e-12  2.60014926e-12  3.42726346e-02  3.42393597e-02  2.62296851e-11  2.62154742e-11 
 5.31000000e-01  2.96808892e-12  2.95908759e-12  3.49671447e-02  4.79997907e-01  3.77768084e-10  8.14481815e-12  2.63444301e-12  3.49415068e-02  3.49081792e-02  2.62172506e-11  2.62048161e-11 
 5.32000000e-01  3.07885030e-12  3.06966302e-12  3.56461441e-02  4.82139418e-01  3.78566949e-10  8.40483239e-12  2.68698605e-12  3.56204442e-02  3.55869672e-02  2.62687649e-11  2.62492250e-11 
 5.33000000e-01  3.18880189e-12  3.18224574e-12  3.63246974e-02  4.84088912e-01  3.79366341e-10  8.66928751e-12  2.72877207e-12  3.62988336e-02  3.62650818e-02  2.62687649e-11  2.62545541e-11 
 5.34000000e-01  3.30291059e-12  3.29623919e-12  3.70290894e-02  4.86313641e-01  3.80166226e-10  8.94528895e-12  2.74826863e-12  3.70031948e-02  3.69693407e-02  2.62723177e-11  2.62776467e-11 
 5.35000000e-01  3.42629407e-12  3.41959296e-12  3.77757233e-02  4.88206641e-01  3.80966601e-10  9.22861787e-12  2.80621013e-12  3.77495686e-02  3.77152952e-02  2.63078448e-11  2.63096211e-11 
 5.36000000e-01  3.54961238e-12  3.53806717e-12  3.84792868e-02  4.90128630e-01  3.81767465e-10  9.51971835e-12  2.84341647e-12  3.84529233e-02  3.84183363e-02  2.63185029e-11  2.62936339e-11 
 5.37000000e-01  3.67718468e-12  3.66598300e-12  3.92189451e-02  4.92169200e-01  3.82568807e-10  9.81947856e-12  2.85418390e-12  3.91924151e-02  3.91575464e-02  2.63433719e-11  2.63149502e-11 
 5.38000000e-01  3.80874274e-12  3.79582596e-12  3.99765021e-02  4.93887826e-01  3.83370704e-10  1.01256781e-11  2.89957294e-12  3.99496035e-02  3.99142000e-02  2.63771227e-11  2.63717936e-11 
 5.39000000e-01  3.93985549e-12  3.93356589e-12  4.07308564e-02  4.95801117e-01  3.84173094e-10  1.04429798e-11  2.92693647e-12  4.07037003e-02  4.06678546e-02  2.63948863e-11  2.63931099e-11 
 5.40000000e-01  4.08152166e-12  4.07350560e-12  4.14729975e-02  4.97584856e-01  3.84975977e-10  1.07704956e-11  2.95474409e-12  4.14455099e-02  4.14091582e-02  2.63966626e-11  2.64357425e-11 
 5.41000000e-01  4.22269642e-12  4.21710205e-12  4.22581021e-02  4.99349612e-01  3.85779399e-10  1.11060050e-11  2.97971890e-12  4.22302393e-02  4.21933500e-02  2.64055444e-11  2.64250843e-11 
 5.42000000e-01  4.37996305e-12  4.36638656e-12  4.30810559e-02  5.01063752e-01  3.86583323e-10  1.14528387e-11  3.01239589e-12  4.30527432e-02  4.30152223e-02  2.65067968e-11  2.64606115e-11 
 5.43000000e-01  4.53097154e-12  4.52324544e-12  4.38674802e-02  5.02693755e-01  3.87387730e-10  1.18109966e-11  3.05040368e-12  4.38386878e-02  4.38004242e-02  2.65067968e-11  2.64961386e-11 
 5.44000000e-01  4.68874882e-12  4.68059764e-12  4.46815035e-02  5.04303970e-01  3.88192654e-10  1.21789245e-11  3.07918968e-12  4.46521894e-02  4.46131759e-02  2.65458766e-11  2.65547584e-11 
 5.45000000e-01  4.85701282e-12  4.84866593e-12  4.55504192e-02  5.06004508e-01  3.88998113e-10  1.25564004e-11  3.08555438e-12  4.55205911e-02  4.54808249e-02  2.66187072e-11  2.65512057e-11 
 5.46000000e-01  5.02042360e-12  5.01471122e-12  4.63656774e-02  5.07534149e-01  3.89804021e-10  1.29427580e-11  3.12235827e-12  4.63352661e-02  4.62946452e-02  2.66364708e-11  2.66169309e-11 
 5.47000000e-01  5.19590643e-12  5.18913791e-12  4.72277651e-02  5.09138701e-01  3.90610531e-10  1.33444367e-11  3.14724288e-12  4.71967612e-02  4.71552924e-02  2.66719979e-11  2.66524580e-11 
 5.48000000e-01  5.37789429e-12  5.36847725e-12  4.80850266e-02  5.10703748e-01  3.91417491e-10  1.37561074e-11  3.16802487e-12  4.80534001e-02  4.80110521e-02  2.67128542e-11  2.67235123e-11 
 5.49000000e-01  5.56126380e-12  5.56141888e-12  4.89800432e-02  5.12212424e-01  3.92224953e-10  1.41835432e-11  3.19059709e-12  4.89476978e-02  4.89042733e-02  2.68087774e-11  2.68070011e-11 
 5.50000000e-01  5.75734253e-12  5.74626166e-12  4.98729156e-02  5.13736070e-01  3.93032974e-10  1.46189727e-11  3.19555320e-12  4.98398600e-02  4.97954573e-02  2.68727263e-11  2.68709499e-11 
 5.51000000e-01  5.96021975e-12  5.94104871e-12  5.07613206e-02  5.15190916e-01  3.93841487e-10  1.50712776e-11  3.23624287e-12  5.07274852e-02  5.06820252e-02  2.69455569e-11  2.69366751e-11 
 5.52000000e-01  6.15530480e-12  6.14431275e-12  5.16532651e-02  5.16626973e-01  3.94650568e-10  1.55326862e-11  3.25183630e-12  5.16186256e-02  5.15719668e-02  2.70041767e-11  2.70006240e-11 
